股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1727,中華化,93.0,18.93%,23469,1.94
2303,聯電,116.0,20.21%,198946,1.65
2316,楠梓電,151.0,29.61%,12313,1.6
2327,國巨,572.0,53.97%,24699,1.96
2355,敬鵬,65.0,23.34%,50817,1.93
2356,英業達,54.1,8.31%,52796,1.52
2375,凱美,122.5,34.17%,10748,3.01
2401,凌陽,29.55,16.34%,47782,2.78
2441,超豐,106.5,14.03%,15482,1.92
2472,立隆電,266.0,32.01%,31301,2.45
3033,威健,52.5,22.38%,26642,2.89
3090,日電貿,196.0,68.97%,61149,3.96
3209,全科,79.1,44.61%,10285,2.19
3221,台嘉碩,51.3,6.43%,19909,1.62
3236,千如,48.25,48.01%,18366,3.02
3305,昇貿,139.0,17.3%,11598,3.21
3441,聯一光,52.9,35.29%,10932,6.5
3663,鑫科,83.7,12.5%,11922,2.18
3694,海華,71.8,15.99%,20015,5.2
3704,合勤控,41.4,16.95%,12325,1.96
4916,事欣科,98.8,56.58%,46915,3.09
5328,華容,33.95,18.71%,33439,2.15
5425,台半,90.4,26.43%,57571,3.45
6127,九豪,53.0,10.42%,69344,1.81
6147,頎邦,222.5,15.58%,81865,2.3
6155,鈞寶,59.4,16.7%,28328,2.97
6175,立敦,85.2,23.48%,26403,2.67
6207,雷科,88.7,28.55%,18822,4.69
6209,今國光,86.7,20.08%,52264,3.53
6239,力成,257.5,11.71%,25307,2.25
6742,澤米,61.7,58.82%,10790,8.15
8043,蜜望實,125.5,31.55%,27292,4.05
8163,達方,35.55,24.74%,12232,5.25
8261,富鼎,150.0,17.19%,19882,2.14
