排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,2002,中鋼,鋼鐵工業,上市,5,23826,116311
2,1605,華新,電器電纜,上市,3,9902,64913
3,8112,至上,電子通路業,上市,5,31803,49625
4,3231,緯創,電腦及週邊設備業,上市,4,2080,40043
5,5351,鈺創,半導體業,上櫃,5,1647,39820
6,2883,凱基金,金融保險業,上市,4,3329,24380
7,1101,台泥,水泥工業,上市,5,1360,20572
8,2103,台橡,橡膠工業,上市,5,7347,19469
9,2354,鴻準,其他電子業,上市,3,585,18355
10,3006,晶豪科,半導體業,上市,5,224,17331
11,2603,長榮,航運業,上市,3,6134,15909
12,2891,中信金,金融保險業,上市,4,3255,15315
13,2353,宏碁,電腦及週邊設備業,上市,3,2265,14712
14,2615,萬海,航運業,上市,3,4012,13346
15,3037,欣興,電子零組件業,上市,4,449,12781
16,1717,長興,化學工業,上市,4,4319,12765
17,2464,盟立,其他電子業,上市,4,4285,11695
18,2377,微星,電腦及週邊設備業,上市,5,277,11309
19,2330,台積電,半導體業,上市,3,3356,10028
20,9921,巨大,運動休閒,上市,5,4278,9774
21,4938,和碩,電腦及週邊設備業,上市,4,170,7410
22,2867,三商壽,金融保險業,上市,5,132,7302
23,1904,正隆,造紙工業,上市,5,1599,7040
24,2388,威盛,半導體業,上市,5,160,6303
25,3033,威健,電子通路業,上市,3,2489,6150
26,6456,GIS-KY,光電業,上市,5,2077,5629
27,2474,可成,其他電子業,上市,4,2951,5589
28,5371,中光電,光電業,上櫃,3,294,5489
29,1608,華榮,電器電纜,上市,4,2562,5239
30,8422,可寧衛,綠能環保,上市,4,976,4896
31,2605,新興,航運業,上市,4,8,4764
32,2609,陽明,航運業,上市,3,3035,4711
33,2031,新光鋼,鋼鐵工業,上市,4,65,4617
34,2030,彰源,鋼鐵工業,上市,5,976,4529
35,2034,允強,鋼鐵工業,上市,4,576,4353
36,2009,第一銅,鋼鐵工業,上市,5,364,3651
37,3211,順達,電腦及週邊設備業,上櫃,3,2041,3641
38,3003,健和興,電子零組件業,上市,5,1216,3594
39,1216,統一,食品工業,上市,3,1102,3358
40,6202,盛群,半導體業,上市,4,903,3230
41,9914,美利達,運動休閒,上市,5,1343,3229
42,3189,景碩,半導體業,上市,3,477,3222
43,3293,鈊象,文化創意業,上櫃,5,939,3130
44,4931,新盛力,電腦及週邊設備業,上櫃,3,1072,3121
45,2392,正崴,電子零組件業,上市,5,1665,3093
46,1504,東元,電機機械,上市,3,163,2987
47,1907,永豐餘,造紙工業,上市,5,314,2980
48,1440,南紡,紡織纖維,上市,4,1159,2948
49,2393,億光,光電業,上市,4,1138,2912
50,2542,興富發,建材營造業,上市,4,1030,2876
51,2637,慧洋-KY,航運業,上市,4,64,2763
52,2376,技嘉,電腦及週邊設備業,上市,4,754,2754
53,1319,東陽,汽車工業,上市,5,1088,2456
54,5469,瀚宇博,電子零組件業,上市,4,154,2419
55,3141,晶宏,半導體業,上櫃,5,30,2347
56,6919,康霈*,生技醫療業,上市,3,107,2316
57,6279,胡連,電子零組件業,上櫃,5,284,2259
58,2498,宏達電,通信網路業,上市,4,11,2089
59,6781,AES-KY,電子零組件業,上市,4,453,2050
60,1710,東聯,化學工業,上市,4,1619,2028
61,2520,冠德,建材營造業,上市,4,80,2014
62,2104,國際中橡,橡膠工業,上市,4,66,1947
63,2108,南帝,橡膠工業,上市,5,319,1938
64,2357,華碩,電腦及週邊設備業,上市,4,866,1859
65,6112,邁達特,資訊服務業,上市,5,67,1781
66,4961,天鈺,半導體業,上市,5,82,1685
67,2454,聯發科,半導體業,上市,3,1037,1638
68,9941,裕融,其他業,上市,4,239,1630
69,6589,台康生技,生技醫療業,上櫃,4,623,1618
70,1308,亞聚,塑膠工業,上市,5,148,1617
71,3019,亞光,光電業,上市,3,547,1561
72,2033,佳大,鋼鐵工業,上市,5,599,1490
73,2367,燿華,電子零組件業,上市,3,1026,1446
74,6152,百一,通信網路業,上市,3,794,1427
75,6834,天二科技,電子零組件業,上市,3,706,1416
76,8081,致新,半導體業,上市,3,521,1398
77,1304,台聚,塑膠工業,上市,5,86,1392
78,2536,宏普,建材營造業,上市,3,715,1388
79,1736,喬山,運動休閒,上市,4,337,1269
80,3712,永崴投控,電腦及週邊設備業,上市,5,219,1230
81,6446,藥華藥,生技醫療業,上市,3,1446,1189
82,5521,工信,建材營造業,上市,3,7,1158
83,5443,均豪,光電業,上櫃,5,40,1091
84,8043,蜜望實,電子零組件業,上櫃,3,1578,1075
85,9910,豐泰,運動休閒,上市,4,478,1013
86,4746,台耀,生技醫療業,上市,5,235,963
87,3046,建碁,電腦及週邊設備業,上市,4,228,954
88,6491,晶碩,生技醫療業,上市,5,41,860
89,3094,聯傑,半導體業,上市,4,279,829
90,2355,敬鵬,電子零組件業,上市,4,430,828
91,6913,鴻呈,電子零組件業,上櫃,4,5,826
92,8070,長華*,電子通路業,上市,4,127,820
93,6472,保瑞,生技醫療業,上市,4,20,811
94,4147,中裕,生技醫療業,上櫃,3,533,807
95,2023,燁輝,鋼鐵工業,上市,5,101,775
96,1513,中興電,電機機械,上市,3,139,740
97,3661,世芯-KY,半導體業,上市,4,375,725
98,3489,森寶,建材營造業,上櫃,5,99,695
99,2881,富邦金,金融保險業,上市,4,635,637
100,3221,台嘉碩,通信網路業,上櫃,4,146,622
101,6547,高端疫苗,生技醫療業,上櫃,4,119,599
102,1305,華夏,塑膠工業,上市,5,2,566
103,2365,昆盈,電腦及週邊設備業,上市,4,38,565
104,3229,晟鈦,電子零組件業,上市,4,79,550
105,3218,大學光,生技醫療業,上櫃,5,57,549
106,3059,華晶科,光電業,上市,4,29,548
107,6227,茂綸,電子通路業,上櫃,4,266,538
108,2201,裕隆,汽車工業,上市,4,162,527
109,6509,聚和,化學工業,上櫃,5,81,521
110,2383,台光電,電子零組件業,上市,4,321,516
111,6937,天虹,半導體業,上市,4,272,500
112,4157,太景*-KY,生技醫療業,上櫃,4,130,473
113,9933,中鼎,其他業,上市,4,313,446
114,4114,健喬,生技醫療業,上櫃,3,405,427
115,6292,迅德,電子零組件業,上櫃,4,297,421
116,6922,宸曜,電腦及週邊設備業,上櫃,3,185,409
117,3708,上緯投控,綠能環保,上市,3,63,396
118,2636,台驊控股,航運業,上市,3,468,395
119,6189,豐藝,電子通路業,上市,4,96,389
120,5508,永信建,建材營造業,上櫃,5,39,381
121,3062,建漢,通信網路業,上市,3,79,366
122,5269,祥碩,半導體業,上市,4,149,358
123,5014,建錩,鋼鐵工業,上櫃,4,38,352
124,2364,倫飛,電腦及週邊設備業,上市,4,20,348
125,1909,榮成,造紙工業,上市,3,12,347
126,6235,華孚,電腦及週邊設備業,上市,4,19,341
127,6933,AMAX-KY,電腦及週邊設備業,上市,4,149,336
128,1434,福懋,紡織纖維,上市,3,396,331
129,6532,瑞耘,半導體業,上櫃,4,77,330
130,1723,中碳,化學工業,上市,4,6,326
131,2402,毅嘉,電子零組件業,上市,3,15,325
132,3716,中化控股,生技醫療業,上市,3,69,314
133,1517,利奇,電機機械,上市,4,300,314
134,3230,錦明,光電業,上櫃,5,44,313
135,8222,寶一,電機機械,上市,4,81,307
136,2029,盛餘,鋼鐵工業,上市,4,104,301
137,6462,神盾,半導體業,上櫃,4,134,300
138,8084,巨虹,電子通路業,上櫃,5,216,294
139,6133,金橋,電子零組件業,上市,4,208,287
140,6218,豪勉,通信網路業,上櫃,5,24,286
141,3010,華立,電子通路業,上市,4,228,278
142,9940,信義,其他業,上市,5,1,276
143,6761,穩得,電子零組件業,上櫃,3,172,263
144,8227,巨有科技,半導體業,上櫃,4,225,259
145,2607,榮運,航運業,上市,4,19,259
146,2069,運錩,鋼鐵工業,上市,3,169,246
147,1582,信錦,電子零組件業,上市,3,139,244
148,1416,廣豐,其他業,上市,4,3,243
149,1905,華紙,造紙工業,上市,4,78,227
150,6136,富爾特,通信網路業,上市,3,44,223
151,5468,凱鈺,半導體業,上櫃,4,124,222
152,6277,宏正,電腦及週邊設備業,上市,3,24,221
153,6829,千附精密,電機機械,上櫃,5,8,218
154,9905,大華,其他業,上市,4,4,211
155,4105,東洋,生技醫療業,上櫃,3,174,210
156,1526,日馳,電機機械,上市,3,5,203
157,3545,敦泰,半導體業,上市,3,11,202
158,5452,佶優,其他電子業,上櫃,5,4,199
159,6670,復盛應用,運動休閒,上市,5,15,198
160,6205,詮欣,電子零組件業,上市,5,67,198
161,5306,桂盟,運動休閒,上市,4,91,185
162,4766,南寶,化學工業,上市,3,82,184
163,6840,東研信超,其他電子業,上櫃,3,6,181
164,4536,拓凱,運動休閒,上市,4,55,175
165,6208,日揚,電子零組件業,上櫃,5,84,169
166,6174,安碁,電子零組件業,上櫃,3,204,165
167,6558,興能高,其他電子業,上市,4,69,163
168,2206,三陽工業,汽車工業,上市,4,26,161
169,6546,正基,通信網路業,上櫃,5,37,159
170,3323,加百裕,電腦及週邊設備業,上櫃,4,25,156
171,6592,和潤企業,其他業,上市,4,105,153
172,2707,晶華,觀光餐旅,上市,3,59,147
173,4736,泰博,生技醫療業,上市,4,68,143
174,2230,泰茂,電機機械,上櫃,5,54,138
175,8289,泰藝,電子零組件業,上櫃,3,7,136
176,2471,資通,資訊服務業,上市,4,36,130
177,6606,建德工業,電機機械,上市,4,69,127
178,8942,森鉅,其他業,上櫃,4,90,127
179,4417,金洲,紡織纖維,上櫃,3,76,126
180,3051,力特,光電業,上市,4,28,126
181,6541,泰福-KY,生技醫療業,上市,4,47,126
182,6689,伊雲谷,數位雲端,上市,4,27,120
183,8104,錸寶,光電業,上市,4,34,118
184,3317,尼克森,半導體業,上櫃,4,3,114
