股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2603,長榮,214.5,4,3837346,767,220.0,202.0,8.91%
2610,華航,20.25,4,7157743,1431,22.7,20.0,13.50%
2855,統一證,47.5,5,4315061,863,48.0,44.05,8.97%
2880,華南金,43.2,5,36639027,7327,44.85,42.85,4.67%
2883,凱基金,31.2,5,24805415,4961,31.4,30.3,3.63%
2884,玉山金,36.75,5,2945653,589,38.3,36.3,5.51%
2886,兆豐金,48.7,5,20397175,4079,51.9,48.55,6.90%
2887,台新金,35.65,4,17933334,3586,36.0,34.5,4.35%
3264,欣銓,216.5,4,7324572,1464,228.0,200.0,14.00%
3711,日月光投控,621.0,4,3692251,738,641.0,574.0,11.67%
4904,遠傳,101.0,5,4442095,888,104.0,100.0,4.00%
4938,和碩,91.4,5,4661741,932,91.5,84.7,8.03%
