排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,8150,南茂,半導體業,上市,12233,64251
2,3711,日月光投控,半導體業,上市,380,26697
3,3037,欣興,電子零組件業,上市,2017,19493
4,2855,統一證,金融保險業,上市,488,12154
5,3576,聯合再生,光電業,上市,42,11306
6,2308,台達電,電子零組件業,上市,324,8602
7,3702,大聯大,電子通路業,上市,3119,7617
8,1569,濱川,電腦及週邊設備業,上櫃,690,4798
9,2404,漢唐,其他電子業,上市,528,4030
10,5608,四維航,航運業,上市,177,2691
11,2603,長榮,航運業,上市,177,2393
12,2340,台亞,半導體業,上市,137,1995
13,5876,上海商銀,金融保險業,上市,85,1795
14,2915,潤泰全,貿易百貨業,上市,362,1758
15,4770,上品,化學工業,上市,192,1710
16,1513,中興電,電機機械,上市,360,1642
17,3324,雙鴻,其他電子業,上櫃,562,1481
18,8050,廣積,電腦及週邊設備業,上櫃,842,1417
19,2367,燿華,電子零組件業,上市,331,1312
20,5309,系統電,電子零組件業,上櫃,632,951
21,5230,雷笛克光學,光電業,上櫃,477,890
22,3580,友威科,其他電子業,上櫃,39,859
23,2476,鉅祥,電子零組件業,上市,8,764
24,6189,豐藝,電子通路業,上市,57,708
25,1810,和成,玻璃陶瓷,上市,74,695
26,6509,聚和,化學工業,上櫃,102,667
27,2478,大毅,電子零組件業,上市,189,583
28,6743,安普新,其他電子業,上市,231,535
29,2516,新建,建材營造業,上市,263,423
30,6416,瑞祺電通,通信網路業,上市,20,406
31,5471,松翰,半導體業,上市,159,371
32,4563,百德,電機機械,上櫃,77,364
33,2236,百達-KY,汽車工業,上市,62,342
34,4721,美琪瑪,化學工業,上櫃,135,332
35,2025,千興,鋼鐵工業,上市,223,332
36,6695,芯鼎,半導體業,上市,18,323
37,1612,宏泰,電器電纜,上市,78,293
38,5210,寶碩,資訊服務業,上櫃,15,268
39,6231,系微,資訊服務業,上櫃,72,251
40,5493,三聯,其他電子業,上櫃,12,236
41,1702,南僑,食品工業,上市,8,228
42,4968,立積,半導體業,上市,25,211
43,5206,坤悅,建材營造業,上櫃,5,197
44,3015,全漢,電子零組件業,上市,29,189
45,2107,厚生,橡膠工業,上市,10,173
46,6684,安格,半導體業,上櫃,2,168
47,1558,伸興,電機機械,上市,5,140
48,6111,大宇資,文化創意業,上櫃,57,131
49,8249,菱光,電子零組件業,上市,2,124
50,6167,久正,光電業,上櫃,15,122
51,1219,福壽,食品工業,上市,17,113
52,3685,元創精密,電機機械,上櫃,20,109
53,1437,勤益控,其他業,上市,2,95
54,4536,拓凱,運動休閒,上市,3,88
55,6596,寬宏藝術,文化創意業,上櫃,2,84
56,1527,鑽全,電機機械,上市,14,76
57,6101,寬魚國際,文化創意業,上櫃,8,64
58,2462,良得電,電子零組件業,上市,28,61
59,4561,健椿,電機機械,上櫃,13,59
60,6609,瀧澤科,電機機械,上櫃,2,57
61,8071,能率網通,電子零組件業,上櫃,12,52
62,1604,聲寶,電器電纜,上市,13,47
63,5225,東科-KY,其他電子業,上市,4,41
64,1459,聯發,紡織纖維,上市,1,32
65,2929,淘帝-KY,貿易百貨業,上市,6,31
66,3257,虹冠電,半導體業,上市,2,31
67,7703,銳澤,其他電子業,上櫃,3,22
