股票代碼,公司名稱,公司產業,上市櫃,prev_body,avg_volume_5d,foreign_yesterday,foreign_3days,trust_yesterday,trust_3days
6958,日盛台駿,其他業,上市,0.15000000000000036,41.2816,0.0,-27.26,0.0,0.0
6962,ITH-KY,半導體業,上市,0.7999999999999972,3095.507,-663.0,-1782.0,-3.0,-18.0
6965,中傑-KY,運動休閒,上市,1.7000000000000028,128.8714,0.0,9.0,0.0,0.0
6967,汎瑋材料,電子零組件業,上櫃,0.20000000000000284,120.49840000000002,26.0,78.0,0.0,0.0
6968,萬達寵物,居家生活,上櫃,0.20000000000000284,36.8272,0.0,-1.0,0.0,0.0
6982,大井泵浦,電機機械,上櫃,1.1000000000000014,59.43120000000001,-15.0,-18.0,0.0,0.0
6994,富威電力,綠能環保,上市,0.8999999999999915,603.6244,225.0,-30.0,0.0,0.0
6996,力領科技,半導體業,上櫃,0.5,159.05180000000001,-51.0,-55.0,0.0,0.0
6997,博弘,數位雲端,上櫃,1.0,3.0591999999999997,1.0,2.0,0.0,0.0
7402,邑錡,光電業,上櫃,3.5,2258.2745999999997,-404.0,329.0,0.0,0.0
7556,意德士,半導體業,上櫃,2.0,31.372600000000006,3.81,10.81,0.0,0.0
7584,樂意,文化創意業,上櫃,0.10000000000000142,18.6984,-1.0,-4.0,0.0,0.0
7703,銳澤,其他電子業,上櫃,2.0,276.78380000000004,-29.99,-36.19,0.0,0.0
7704,明遠精密,半導體業,上櫃,0.25,77.622,-5.0,-4.0,0.0,0.0
7705,三商餐飲,觀光餐旅,上市,0.10000000000000142,51.74159999999999,-4.0,6.0,0.0,0.0
7708,全家餐飲,觀光餐旅,上櫃,0.29999999999999716,22.8492,1.0,3.0,0.0,0.0
7709,榮田,電機機械,上櫃,0.3999999999999986,46.4144,-1.0,-1.0,0.0,0.0
7712,博盛半導體,半導體業,上櫃,1.2999999999999972,358.4098,65.0,171.0,0.0,0.0
7713,威力德生醫,生技醫療業,上櫃,0.10000000000000853,9.775200000000002,-3.0,1.0,0.0,0.0
7714,創泓科技,數位雲端,上櫃,9.5,440.8782,-69.0,-57.0,0.0,0.0
7715,裕山,綠能環保,上櫃,1.0,816.2268,-10.0,-55.0,0.0,0.0
7718,友鋮,鋼鐵工業,上櫃,0.05000000000000426,126.22139999999999,12.0,5.0,0.0,0.0
7722,LINEPAY,數位雲端,上市,15.0,250.79280000000003,30.05,-83.7,0.0,0.0
7728,光焱科技,其他電子業,上櫃,76.0,177.9424,3.0,-14.0,0.0,0.0
7732,金興精密,汽車工業,上市,0.45000000000000284,6.2826,0.0,-3.0,0.0,0.0
7734,印能科技,半導體業,上櫃,10.0,100.8368,14.97,47.97,0.0,0.0
7736,虎山,汽車工業,上市,0.7999999999999972,261.8798,-1.0,-14.04,0.0,0.0
8011,台通,通信網路業,上市,0.0,1642.2040000000002,-94.12,171.88,0.0,0.0
8016,矽創,半導體業,上市,2.5,608.988,92.65,322.65,-3.34,-76.8
8021,尖點,其他電子業,上市,16.0,20372.3286,7293.97,7944.46,27.0,1245.0
8024,佑華,半導體業,上櫃,0.3000000000000007,182.571,-9.0,-7.0,0.0,0.0
8027,鈦昇,電機機械,上櫃,3.0,3742.5268000000005,-518.0,-1642.3,0.0,0.0
8028,昇陽半導體,半導體業,上市,1.5,9893.797999999999,-1149.77,-1725.0,-674.0,-860.0
8032,光菱,電子通路業,上櫃,0.6000000000000014,270.379,45.0,-34.0,0.0,0.0
8033,雷虎,其他業,上市,2.5,1473.2616,244.38,629.97,0.0,0.0
8034,榮群,通信網路業,上櫃,0.45000000000000284,3408.9968,29.0,-1413.0,0.0,0.0
8038,長園科,電子零組件業,上櫃,2.1999999999999957,2614.741,1.0,19.0,0.0,0.0
8039,台虹,電子零組件業,上市,2.3999999999999915,18699.8136,-2025.89,-4861.38,-129.0,-403.0
8040,九暘,半導體業,上櫃,0.10000000000000142,195.3776,38.0,-1.0,0.0,0.0
8042,金山電,電子零組件業,上櫃,1.7999999999999972,9408.849600000001,29.02,7.22,0.0,0.0
8043,蜜望實,電子零組件業,上櫃,2.0999999999999943,15872.377600000002,-1095.9,-1056.44,0.0,0.0
8044,網家,數位雲端,上櫃,0.45000000000000284,702.8806,-394.0,-617.77,0.0,0.0
