排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
169,6914,阜爾運通,其他業,上市,3,2,-2
170,4127,天良,生技醫療業,上櫃,4,8,-5
171,1339,昭輝,汽車工業,上市,4,1,-9
172,6492,生華科,生技醫療業,上櫃,4,1,-10
173,4564,元翎,電機機械,上市,4,7,-14
174,4513,福裕,電機機械,上櫃,3,6,-50
175,6530,創威,通信網路業,上櫃,3,59,-146
176,4760,勤凱,其他電子業,上櫃,3,69,-147
177,5519,隆大,建材營造業,上市,4,92,-147
178,1808,潤隆,建材營造業,上市,3,181,-178
179,3605,宏致,電子零組件業,上市,3,52,-187
180,8163,達方,電腦及週邊設備業,上市,3,99,-217
181,2547,日勝生,建材營造業,上市,3,468,-365
182,8289,泰藝,電子零組件業,上櫃,3,7,-394
183,1455,集盛,紡織纖維,上市,3,276,-468
184,2537,聯上發,建材營造業,上市,3,244,-848
185,2548,華固,建材營造業,上市,3,404,-887
186,3591,艾笛森,光電業,上市,4,401,-1097
187,2485,兆赫,通信網路業,上市,3,447,-1213
188,3484,崧騰,電子零組件業,上櫃,4,205,-1579
189,6177,達麗,建材營造業,上市,3,147,-2056
190,2891,中信金,金融保險業,上市,3,980,-3218
191,2542,興富發,建材營造業,上市,4,1971,-4120
