股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1714,和桐,17.95,79.5%,32707,5.83
2327,國巨,950.0,12.29%,79608,1.89
2478,大毅,207.0,44.76%,16112,3.47
2801,彰銀,22.8,10.68%,21365,1.62
2867,三商壽,8.53,9.5%,37912,1.92
2883,凱基金,29.7,26.92%,127013,1.63
3362,先進光,194.0,62.34%,14495,4.43
3441,聯一光,81.0,48.08%,13278,4.7
3550,聯穎,30.85,46.9%,10939,3.09
3624,光頡,142.0,16.39%,44330,3.18
5328,華容,51.2,27.36%,37318,2.75
6189,豐藝,56.6,10.76%,13177,3.3
6209,今國光,95.3,20.33%,49724,2.5
8042,金山電,192.5,18.83%,27538,2.55
8043,蜜望實,211.0,34.39%,42600,2.39
8926,台汽電,76.8,13.95%,14340,2.08
