排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2887,台新金,金融保險業,上市,36217,145055
2,2892,第一金,金融保險業,上市,10505,134319
3,2801,彰銀,金融保險業,上市,1004,85830
4,2618,長榮航,航運業,上市,26257,74349
5,2344,華邦電,半導體業,上市,40631,73923
6,2884,玉山金,金融保險業,上市,9502,69460
7,5880,合庫金,金融保險業,上市,5331,49919
8,2890,永豐金,金融保險業,上市,12972,49632
9,2886,兆豐金,金融保險業,上市,4687,41935
10,2867,三商壽,金融保險業,上市,4060,35878
11,1303,南亞,塑膠工業,上市,22650,32800
12,2542,興富發,建材營造業,上市,995,23721
13,1216,統一,食品工業,上市,1400,17952
14,2882,國泰金,金融保險業,上市,5606,16774
15,2412,中華電,通信網路業,上市,1120,16490
16,3045,台灣大,通信網路業,上市,330,16376
17,5347,世界,半導體業,上櫃,4337,16019
18,2401,凌陽,半導體業,上市,11476,15055
19,2880,華南金,金融保險業,上市,3347,14707
20,2027,大成鋼,鋼鐵工業,上市,20,12824
21,2501,國建,建材營造業,上市,1153,12016
22,2897,王道銀行,金融保險業,上市,62,9683
23,6182,合晶,半導體業,上櫃,2707,8639
24,1102,亞泥,水泥工業,上市,2650,8579
25,6202,盛群,半導體業,上市,4982,8360
26,3035,智原,半導體業,上市,5717,7184
27,1101,台泥,水泥工業,上市,3585,6937
28,2903,遠百,貿易百貨業,上市,2130,6780
29,2377,微星,電腦及週邊設備業,上市,1038,5898
30,2634,漢翔,航運業,上市,620,5138
31,1722,台肥,化學工業,上市,1162,4957
32,4306,炎洲,塑膠工業,上市,565,4855
33,2915,潤泰全,貿易百貨業,上市,1996,4478
34,8454,富邦媒,數位雲端,上市,18,4404
35,2352,佳世達,電腦及週邊設備業,上市,718,4377
36,2820,華票,金融保險業,上市,99,4267
37,1909,榮成,造紙工業,上市,993,4100
38,8163,達方,電腦及週邊設備業,上市,228,4097
39,5471,松翰,半導體業,上市,2363,3503
40,5534,長虹,建材營造業,上市,39,3261
41,2405,輔信,電腦及週邊設備業,上市,1348,3233
42,1711,永光,化學工業,上市,600,3196
43,8096,擎亞,電子通路業,上櫃,1598,3155
44,2103,台橡,橡膠工業,上市,925,2974
45,2402,毅嘉,電子零組件業,上市,858,2973
46,4934,太極,光電業,上市,215,2611
47,3714,富采,光電業,上市,1360,2562
48,3016,嘉晶,半導體業,上市,1331,2553
49,1307,三芳,塑膠工業,上市,94,2507
50,2101,南港,橡膠工業,上市,353,2449
51,4904,遠傳,通信網路業,上市,468,2442
52,1313,聯成,塑膠工業,上市,79,2378
53,9921,巨大,運動休閒,上市,355,2313
54,3026,禾伸堂,電子零組件業,上市,198,2264
55,2426,鼎元,光電業,上市,4318,2009
56,3303,岱稜,其他電子業,上櫃,398,1983
57,2338,光罩,半導體業,上市,2638,1754
58,1229,聯華,食品工業,上市,213,1694
59,2243,宏旭-KY,汽車工業,上市,52,1625
60,3034,聯詠,半導體業,上市,274,1614
61,3374,精材,半導體業,上櫃,434,1556
62,3094,聯傑,半導體業,上市,1197,1535
63,3149,正達,光電業,上市,58,1494
64,3044,健鼎,電子零組件業,上市,1277,1430
65,9946,三發地產,建材營造業,上市,981,1400
66,3390,旭軟,電子零組件業,上櫃,631,1289
67,2030,彰源,鋼鐵工業,上市,269,1287
68,2388,威盛,半導體業,上市,1279,1260
69,3322,建舜電,電子零組件業,上櫃,36,1243
70,3004,豐達科,鋼鐵工業,上市,523,1201
71,8476,台境*,綠能環保,上市,43,1200
72,6962,ITH-KY,半導體業,上市,524,1199
73,2023,燁輝,鋼鐵工業,上市,409,1193
74,3545,敦泰,半導體業,上市,868,1148
75,1532,勤美,電機機械,上市,397,1106
76,5608,四維航,航運業,上市,35,1000
77,3321,同泰,電子零組件業,上市,659,962
78,2399,映泰,電腦及週邊設備業,上市,249,958
79,1723,中碳,化學工業,上市,402,884
80,4541,晟田,其他業,上櫃,114,872
81,2363,矽統,半導體業,上市,1187,866
82,2543,皇昌,建材營造業,上市,135,840
83,6919,康霈*,生技醫療業,上市,443,767
84,6613,朋億*,其他電子業,上櫃,95,757
85,2527,宏璟,建材營造業,上市,576,740
86,5512,力麒,建材營造業,上櫃,118,721
87,5519,隆大,建材營造業,上市,110,713
88,2428,興勤,電子零組件業,上市,498,692
89,5288,豐祥-KY,電機機械,上市,10,681
90,3532,台勝科,半導體業,上市,424,658
91,2340,台亞,半導體業,上市,2319,639
92,3011,今皓,電子零組件業,上市,237,618
93,4961,天鈺,半導體業,上市,315,618
94,3356,奇偶,光電業,上市,775,615
95,2107,厚生,橡膠工業,上市,13,615
96,4556,旭然,其他業,上櫃,14,597
97,2380,虹光,電腦及週邊設備業,上市,82,575
98,4532,瑞智,電機機械,上市,18,539
99,2636,台驊控股,航運業,上市,25,523
100,1736,喬山,運動休閒,上市,50,521
101,5340,建榮,電子零組件業,上櫃,219,513
102,4716,大立,化學工業,上櫃,391,510
103,2535,達欣工,建材營造業,上市,162,468
104,5468,凱鈺,半導體業,上櫃,170,446
105,6494,九齊,半導體業,上櫃,306,434
106,5515,建國,建材營造業,上市,89,428
107,6465,威潤,通信網路業,上櫃,120,403
108,6515,穎崴,半導體業,上市,71,385
109,8415,大國鋼,鋼鐵工業,上櫃,39,372
110,3645,達邁,電子零組件業,上市,241,362
111,8341,日友,綠能環保,上市,10,350
112,3685,元創精密,電機機械,上櫃,118,337
113,5278,尚凡*,數位雲端,上櫃,213,332
114,5291,邑昇,電子零組件業,上櫃,203,315
115,2392,正崴,電子零組件業,上市,297,300
116,5227,立凱-KY,電子零組件業,上櫃,99,291
117,3285,微端,其他電子業,上櫃,33,281
118,2032,新鋼,鋼鐵工業,上市,102,279
119,6151,晉倫,其他電子業,上櫃,89,277
120,3535,晶彩科,光電業,上市,68,264
121,4536,拓凱,運動休閒,上市,24,263
122,3583,辛耘,半導體業,上市,117,252
123,2546,根基,建材營造業,上市,50,247
124,6177,達麗,建材營造業,上市,60,246
125,1713,國化,化學工業,上市,20,243
126,2029,盛餘,鋼鐵工業,上市,2,233
127,6684,安格,半導體業,上櫃,60,225
128,1540,喬福,電機機械,上市,56,205
129,1460,宏遠,紡織纖維,上市,62,201
130,1103,嘉泥,水泥工業,上市,89,190
131,9925,新保,其他業,上市,11,188
132,2211,長榮鋼,鋼鐵工業,上市,76,183
133,6625,必應,其他業,上市,60,167
134,2516,新建,建材營造業,上市,15,157
135,2723,美食-KY,觀光餐旅,上市,5,149
136,6570,維田,電腦及週邊設備業,上櫃,25,146
137,6510,精測,半導體業,上櫃,22,139
138,2611,志信,航運業,上市,15,138
139,2066,世德,電機機械,上櫃,19,136
140,5403,中菲,資訊服務業,上櫃,10,110
141,3276,宇環,電子零組件業,上櫃,46,100
142,5481,新華,其他業,上櫃,34,94
143,1305,華夏,塑膠工業,上市,118,91
144,6418,詠昇,電子零組件業,上櫃,32,84
145,6715,嘉基,電子零組件業,上市,20,83
146,1339,昭輝,汽車工業,上市,15,81
147,4207,環泰,食品工業,上櫃,19,78
148,2704,國賓,觀光餐旅,上市,49,72
149,8462,柏文,運動休閒,上市,11,70
150,6229,研通,半導體業,上櫃,18,67
151,1598,岱宇,運動休閒,上市,7,66
152,3611,鼎翰,電腦及週邊設備業,上櫃,23,61
153,2059,川湖,電子零組件業,上市,1,56
154,8908,欣雄,油電燃氣業,上櫃,15,54
155,5490,同亨,電腦及週邊設備業,上櫃,35,54
156,2114,鑫永銓,橡膠工業,上市,6,51
157,3437,榮創,光電業,上市,75,46
158,8091,翔名,半導體業,上櫃,32,45
159,2748,雲品,觀光餐旅,上市,34,45
160,3529,力旺,半導體業,上櫃,40,45
161,2908,特力,貿易百貨業,上市,28,43
162,5283,禾聯碩,電器電纜,上市,5,42
163,6230,尼得科超眾,電腦及週邊設備業,上市,16,36
164,3025,星通,通信網路業,上市,134,35
165,6195,詩肯,居家生活,上櫃,4,33
166,6492,生華科,生技醫療業,上櫃,7,32
167,6101,寬魚國際,文化創意業,上櫃,20,31
168,6617,共信-KY,生技醫療業,上櫃,10,27
169,2945,三商家購,貿易百貨業,上市,22,24
170,3130,一零四,數位雲端,上市,9,24
171,6108,競國,電子零組件業,上市,219,23
172,6957,裕慶-KY,其他業,上市,8,21
173,2849,安泰銀,金融保險業,上市,20,21
174,1517,利奇,電機機械,上市,48,21
175,2722,夏都,觀光餐旅,上市,3,20
176,1455,集盛,紡織纖維,上市,106,18
177,2745,五福,觀光餐旅,上櫃,1,18
178,1733,五鼎,生技醫療業,上市,33,18
179,4569,六方科-KY,汽車工業,上市,19,16
180,6899,創為精密,光電業,上櫃,3,11
181,8083,瑞穎,電機機械,上櫃,1,11
182,1560,中砂,電機機械,上市,255,8
183,5530,龍巖,其他業,上櫃,43,6
184,1539,巨庭,電機機械,上市,1,-6
185,2012,春雨,鋼鐵工業,上市,13,-6
186,2923,鼎固-KY,建材營造業,上市,68,-7
187,6576,逸達,生技醫療業,上櫃,8,-10
188,2227,裕日車,汽車工業,上市,8,-10
189,8045,達運光電,通信網路業,上市,7,-27
190,2506,太設,建材營造業,上市,11,-35
191,3027,盛達,通信網路業,上市,18,-36
192,3607,谷崧,電子零組件業,上市,13,-39
193,6431,光麗-KY,生技醫療業,上市,10,-39
194,3325,旭品,電腦及週邊設備業,上櫃,11,-40
195,6757,台灣虎航,航運業,上市,693,-67
196,5292,華懋,綠能環保,上市,17,-68
197,6237,驊訊,半導體業,上櫃,33,-72
