股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1101,台泥,25.0,8.7%,36085,2.13
1319,東陽,112.0,14.64%,15936,2.09
1514,亞力,114.0,16.21%,28287,2.75
1519,華城,965.0,29.7%,15052,2.1
1717,長興,67.3,60.43%,137537,4.77
1721,三晃,20.6,18.73%,19929,3.68
2303,聯電,58.5,20.12%,306202,2.35
2312,金寶,33.7,46.84%,406559,5.31
2313,華通,142.0,50.11%,71377,2.87
2327,國巨,283.0,17.43%,82271,1.81
2329,華泰,61.9,10.73%,46296,1.98
2369,菱生,28.15,20.3%,42378,2.22
2441,超豐,102.0,13.08%,28611,2.18
2455,全新,170.5,13.29%,19444,2.84
3189,景碩,192.5,23.4%,55502,1.51
4510,高鋒,49.15,22.11%,19463,4.35
4526,東台,35.85,11.68%,16125,3.55
4533,協易機,30.35,36.1%,15624,5.09
4973,廣穎,53.0,33.67%,12941,2.18
5328,華容,28.4,32.71%,28883,1.6
5347,世界,139.5,51.14%,79389,4.35
6016,康和證,15.95,21.76%,12557,3.65
6126,信音,36.65,15.25%,13174,3.04
6134,萬旭,33.85,25.6%,11020,4.1
6239,力成,263.0,43.32%,19776,2.06
6257,矽格,137.5,17.52%,17077,2.1
6485,點序,116.0,34.73%,14753,3.98
8088,品安,66.5,42.25%,33026,2.05
8104,錸寶,39.95,27.03%,13711,4.42
8150,南茂,67.7,39.3%,78350,2.48
