股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1409,新纖,27.55,64.97%,25800,3.24
1605,華新,40.45,21.11%,81787,2.0
1608,華榮,35.85,14.17%,16323,2.24
2312,金寶,41.3,48.83%,135198,2.69
2317,鴻海,301.5,23.06%,113076,1.87
2324,仁寶,44.35,59.53%,177995,3.4
2328,廣宇,61.7,21.94%,72637,2.95
2344,華邦電,184.5,57.02%,270430,1.55
2352,佳世達,31.5,25.75%,21947,2.29
2353,宏碁,42.55,53.33%,217599,2.7
2356,英業達,80.6,55.9%,295984,4.15
2357,華碩,920.0,43.3%,11557,1.5
2362,藍天,51.9,34.63%,12900,5.3
2376,技嘉,390.5,28.03%,25610,1.99
2377,微星,149.0,33.63%,98352,2.62
2379,瑞昱,653.0,17.66%,11499,1.64
2405,輔信,20.2,34.67%,33872,3.86
2409,友達,26.15,36.55%,720567,1.83
2474,可成,245.5,33.42%,21179,4.3
2495,普安,51.6,44.34%,15066,1.79
2603,長榮,231.0,17.26%,35901,2.03
2855,統一證,49.45,25.67%,21036,1.85
2881,富邦金,113.5,16.77%,97486,2.98
2882,國泰金,89.2,14.65%,57830,1.97
3013,晟銘電,133.5,33.9%,27832,2.31
3048,益登,75.2,34.05%,22576,2.09
3059,華晶科,51.0,21.14%,14608,2.54
3149,正達,86.1,48.96%,37607,2.02
3231,緯創,191.0,44.15%,282187,2.43
3481,群創,56.2,50.07%,1163170,1.73
3556,禾瑞亞,80.4,59.84%,10871,4.61
3673,TPK-KY,92.0,22.02%,49966,2.67
3706,神達,95.2,17.97%,68634,2.79
4938,和碩,97.8,27.18%,62079,2.25
5309,系統電,78.6,21.48%,37073,2.3
5328,華容,40.2,43.06%,24551,2.78
5864,致和證,45.4,46.45%,10992,2.62
6005,群益證,41.25,34.58%,21818,1.56
6016,康和證,32.5,50.12%,20714,2.8
6026,福邦證,17.8,18.67%,11516,3.02
6116,彩晶,20.65,103.45%,200560,3.41
6127,九豪,81.4,71.55%,55155,2.03
6155,鈞寶,75.9,49.12%,29741,3.32
6207,雷科,127.0,51.37%,26569,2.32
6265,方土昶,61.6,44.94%,23475,1.54
6269,台郡,74.9,32.8%,42564,2.55
6548,長科*,81.1,67.22%,34159,2.64
8043,蜜望實,157.0,38.33%,18608,2.21
8070,長華*,58.0,35.99%,29300,3.23
8088,品安,65.6,25.67%,15745,1.85
8105,凌巨,21.2,35.03%,44124,3.09
8473,山林水,56.0,54.91%,12715,4.86
