股票代碼,公司名稱,符合策略數,符合策略
6213,聯茂,3,"外資買超, 大戶持有, 強勢股"
5864,致和證,2,"強勢股, 隔日衝"
1301,台塑,2,"外資買超, 隔日衝"
6505,台塑化,2,"外資買超, 隔日衝"
2317,鴻海,2,"外資買超, 隔日衝"
3231,緯創,2,"外資買超, 隔日衝"
2382,廣達,2,"外資買超, 隔日衝"
2883,凱基金,2,"外資買超, 強勢股"
1326,台化,2,"外資買超, 強勢股"
1815,富喬,2,"外資買超, 大戶持有"
6244,茂迪,2,"外資買超, 強勢股"
4927,泰鼎-KY,2,"外資買超, 大戶持有"
2890,永豐金,2,"外資買超, 強勢股"
6271,同欣電,2,"外資買超, 強勢股"
6187,萬潤,2,"外資買超, 大戶持有"
2301,光寶科,2,"外資買超, 大戶持有"
3363,上詮,2,"外資買超, 大戶持有"
3163,波若威,2,"外資買超, 大戶持有"
2103,台橡,2,"強勢股, 盤整突破"
2489,瑞軒,2,"大戶持有, 強勢股"
4908,前鼎,2,"大戶持有, 盤整突破"
