股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
8150,南茂,71.5,10.0,-2750.0,-10191.86,-2.0,-2.0
2406,國碩,33.05,9.98,280.82,5341.82,0.0,0.0
8039,台虹,97.0,9.97,28.62,1292.88,-5.0,-8.0
6456,GIS-KY,47.75,9.89,-566.0,110.09,0.0,0.0
6706,惠特,133.5,9.87,-747.0,2676.0,0.0,0.0
4977,眾達-KY,173.0,9.84,399.06,5084.08,0.0,-62.0
5521,工信,26.1,9.66,-3133.0,-6062.0,0.0,0.0
3049,精金,10.4,9.58,1034.0,1601.26,0.0,0.0
3211,順達,309.5,7.83,-1072.9,-1113.6,-388.14,-2259.14
2891,中信金,55.9,4.48,10515.85,29005.81,-10754.78,-24136.24
2882,國泰金,79.7,3.64,-4011.42,-303.85,-6304.44,-16545.28
2603,長榮,197.0,2.6,10164.01,26155.3,-2478.69,-10198.49
1402,遠東新,28.8,1.23,1601.99,4573.38,-3744.0,-7541.13
