股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1326,台化,51.0,29.44%,134891,2.35
2367,燿華,64.5,19.22%,151157,1.77
2409,友達,16.6,20.29%,260143,1.8
2436,偉詮電,62.2,22.92%,10596,2.98
2455,全新,217.5,26.45%,16044,2.53
2489,瑞軒,39.6,85.48%,57331,2.94
2855,統一證,32.25,12.76%,11170,2.15
2880,華南金,38.1,15.11%,39172,1.82
2883,凱基金,21.95,20.27%,161927,2.51
2890,永豐金,33.2,15.28%,55299,1.72
3450,聯鈞,309.5,23.8%,33619,1.6
3576,聯合再生,22.1,79.67%,156546,2.46
4927,泰鼎-KY,47.25,47.89%,46684,1.52
4977,眾達-KY,173.0,30.08%,30105,1.52
6152,百一,18.25,38.26%,14249,1.68
6244,茂迪,33.0,34.69%,64082,2.45
6290,良維,227.0,31.59%,11918,2.19
8046,南電,555.0,40.68%,29702,1.52
