排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2887,台新金,金融保險業,上市,13909,160396
2,2618,長榮航,航運業,上市,86662,157600
3,2344,華邦電,半導體業,上市,-14667,102504
4,2610,華航,航運業,上市,22785,83666
5,2409,友達,光電業,上市,144726,78951
6,2884,玉山金,金融保險業,上市,11415,77239
7,2892,第一金,金融保險業,上市,16122,76075
8,2408,南亞科,半導體業,上市,9301,73522
9,1303,南亞,塑膠工業,上市,24161,69101
10,5880,合庫金,金融保險業,上市,8959,56007
11,3481,群創,光電業,上市,51381,55240
12,2890,永豐金,金融保險業,上市,11183,47586
13,2845,遠東銀,金融保險業,上市,11800,34628
14,2883,凱基金,金融保險業,上市,4237,33884
15,2834,臺企銀,金融保險業,上市,2047,31502
16,1802,台玻,玻璃陶瓷,上市,7086,31285
17,1326,台化,塑膠工業,上市,7620,30797
18,2303,聯電,半導體業,上市,-26023,29899
19,1402,遠東新,紡織纖維,上市,10875,26703
20,2886,兆豐金,金融保險業,上市,7180,25068
21,2801,彰銀,金融保險業,上市,2207,24299
22,2880,華南金,金融保險業,上市,6442,23519
23,6182,合晶,半導體業,上櫃,6627,22714
24,1605,華新,電器電纜,上市,-7682,21991
25,5483,中美晶,半導體業,上櫃,2946,18326
26,6116,彩晶,光電業,上市,10603,18243
27,2882,國泰金,金融保險業,上市,1544,17399
28,5347,世界,半導體業,上櫃,-4078,16797
29,2401,凌陽,半導體業,上市,1456,15144
30,2867,三商壽,金融保險業,上市,566,14628
31,1714,和桐,化學工業,上市,-644,13629
32,1216,統一,食品工業,上市,46,13199
33,3576,聯合再生,光電業,上市,-3556,13146
34,2489,瑞軒,光電業,上市,1130,13041
35,3045,台灣大,通信網路業,上市,-693,11918
36,2542,興富發,建材營造業,上市,1297,11637
37,1102,亞泥,水泥工業,上市,1206,11135
38,4958,臻鼎-KY,電子零組件業,上市,-2196,11082
39,2881,富邦金,金融保險業,上市,1375,10958
40,2412,中華電,通信網路業,上市,-1063,10398
41,3060,銘異,電腦及週邊設備業,上市,4976,9066
42,5351,鈺創,半導體業,上櫃,-31,9051
43,2332,友訊,通信網路業,上市,7784,8577
44,2891,中信金,金融保險業,上市,530,8502
45,1301,台塑,塑膠工業,上市,4903,8450
46,6269,台郡,電子零組件業,上市,4979,8372
47,2455,全新,通信網路業,上市,1611,8365
48,2885,元大金,金融保險業,上市,2001,8289
49,5876,上海商銀,金融保險業,上市,877,8094
50,8039,台虹,電子零組件業,上市,626,7144
