股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,70.2,4,3126109,625,73.2,70.0,4.57%
2027,大成鋼,37.15,5,11163000,2232,37.7,35.75,5.45%
2317,鴻海,219.0,5,4041127,808,228.0,206.0,10.68%
2324,仁寶,32.35,4,6786000,1357,32.6,29.7,9.76%
2880,華南金,34.2,5,8431126,1686,35.8,32.55,9.98%
2881,富邦金,89.2,5,10341507,2068,91.3,83.5,9.34%
2882,國泰金,71.8,5,17003534,3400,74.7,67.3,11.00%
2883,凱基金,20.15,4,6540995,1308,20.75,19.2,8.07%
2887,台新金,24.35,4,85145653,17029,24.85,22.9,8.52%
2890,永豐金,31.75,4,5715518,1143,32.2,30.25,6.45%
3702,大聯大,72.8,4,5512832,1102,74.2,67.4,10.09%
6005,群益證,28.35,5,4387878,877,30.5,27.55,10.71%
