股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2049,上銀,293.5,28.73%,10124,2.26
2340,台亞,35.5,38.13%,16774,3.14
2388,威盛,66.2,28.79%,21113,2.81
2476,鉅祥,121.5,44.82%,13217,3.97
2484,希華,46.6,53.54%,27553,4.33
3221,台嘉碩,48.8,37.08%,15686,2.27
3450,聯鈞,383.0,58.92%,38722,1.65
3645,達邁,114.5,56.42%,19720,2.86
4927,泰鼎-KY,52.2,27.78%,26781,1.99
5443,均豪,119.5,19.74%,17246,2.18
6141,柏承,34.3,63.72%,10720,2.61
6147,頎邦,126.5,50.6%,15718,1.51
6168,宏齊,29.95,15.19%,19465,2.2
6205,詮欣,81.0,56.37%,12008,3.6
6213,聯茂,282.0,65.88%,56668,2.4
6226,光鼎,16.0,33.33%,11656,2.51
6278,台表科,158.5,68.44%,10973,6.97
6456,GIS-KY,83.8,49.64%,49721,4.13
6531,愛普*,682.0,55.0%,12331,1.94
6672,騰輝電子-KY,187.0,44.4%,14439,1.92
8064,東捷,83.5,26.52%,31206,2.06
8086,宏捷科,150.0,19.52%,23178,1.95
8289,泰藝,54.6,52.73%,11382,3.68
8358,金居,404.0,75.65%,50938,2.82
