股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1303,南亞,73.5,4,7654324,1530,78.8,70.0,12.57%
2303,聯電,61.9,4,5136808,1027,62.6,58.8,6.46%
2412,中華電,133.0,5,4784154,956,134.0,132.0,1.52%
2801,彰銀,20.5,5,2529573,505,20.6,20.1,2.49%
2880,華南金,33.85,5,2960000,592,33.85,32.4,4.48%
2883,凱基金,18.3,5,7680598,1536,18.6,17.8,4.49%
2886,兆豐金,39.8,5,2594567,518,39.8,38.4,3.65%
2887,台新金,23.35,4,3019516,603,23.45,22.2,5.63%
2892,第一金,29.15,5,3328836,665,29.3,28.4,3.17%
3036,文曄,154.5,4,3459490,691,160.0,151.0,5.96%
4979,華星光,318.5,5,3742100,748,336.5,301.0,11.79%
5880,合庫金,23.65,5,3079742,615,23.8,23.3,2.15%
