排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,TPU_光通訊與連接器,7.97,100.0,4/4,12.13,20.73,5.27,-11.17
2,CPO_先進封裝測試,5.1,100.0,5/5,8.04,8.77,-0.84,0.76
3,記憶體模組,8.72,100.0,7/7,-11.24,-4.6,-1.77,-1.71
4,記憶體製造,3.88,100.0,4/4,25.99,125.9,-0.09,1.93
5,無塵室與機電工程,2.03,100.0,5/5,-0.09,-19.56,-0.55,-8.34
6,玻璃,3.9,93.33,14/15,24.8,3.03,8.56,6.61
7,半導體設備,2.23,85.71,6/7,3.46,10.2,0.0,-0.02
8,CPO_光通訊,4.05,83.33,5/6,5.92,-48.26,-9.1,-6.09
9,鋼鐵,1.54,80.0,12/15,6.51,3.27,-2.44,-3.27
10,光學元件或組裝,2.59,80.0,12/15,-2.63,-25.04,-2.35,-1.06
11,記憶體控制IC,2.54,80.0,4/5,-3.78,20.19,-0.02,-0.05
12,IC設計,2.71,76.92,10/13,15.53,-11.94,3.89,-8.62
13,記憶體封裝與測試,1.21,75.0,3/4,-18.16,-21.3,0.2,-4.16
14,工業自動化與機器人,0.74,71.43,5/7,-0.07,-0.53,-1.26,-1.39
15,銅,2.25,70.0,7/10,-0.79,-55.3,0.89,19.64
16,電器電纜,0.88,70.0,7/10,-6.95,1.53,-0.15,-2.05
17,軍工_航太製造與維修,0.81,66.67,4/6,0.5,0.53,0.0,0.57
18,PCB,3.34,66.67,10/15,66.07,-50.0,-2.19,34.23
19,機器人,0.29,64.29,9/14,18.07,72.68,-0.58,-9.97
20,TPU_伺服器主板與印刷電路板,3.46,60.0,3/5,72.36,36.06,-0.59,1.22
21,軟體設計,1.04,60.0,9/15,1.13,1.88,-0.0,0.23
22,BBU_電源供應器與整合,0.91,60.0,3/5,18.54,68.06,2.64,-4.93
23,造紙,0.09,57.14,4/7,-0.08,-0.26,-0.0,-0.01
24,廠務系統與水處理,2.14,57.14,4/7,5.89,7.15,-0.0,-0.01
25,電池或電源,0.6,55.0,11/20,12.62,65.67,2.07,-8.26
26,紡織,0.9,55.0,11/20,-2.31,-9.39,-0.17,-1.04
27,塑膠,0.4,50.0,9/18,5.56,-30.52,0.67,24.37
28,銀,2.42,50.0,2/4,-3.62,-3.36,-2.63,1.35
29,化學,0.73,50.0,10/20,2.73,-47.95,0.5,23.01
30,金融,0.34,47.37,9/19,5.56,-30.52,0.67,24.37
31,軍工_無人機相關,0.56,44.44,4/9,-21.28,-41.41,-2.69,-9.14
32,低軌衛星,1.95,42.86,3/7,-46.58,-7.4,-0.03,-1.63
33,網通設備組件,1.26,40.0,8/20,-36.79,-67.12,-12.72,-28.43
34,被動元件,-0.42,31.58,6/19,17.87,62.92,-1.69,-3.84
35,BBU_電池模組,-0.24,28.57,2/7,-0.37,0.59,-0.27,-1.04
36,航運,-0.4,26.67,4/15,4.11,64.32,-0.2,3.79
37,TPU_散熱,0.05,25.0,1/4,-25.88,-22.6,-2.49,-6.18
