股票代碼,公司名稱,風險等級,累計注意股次數,連續天數,預測處置原因,最新收盤價,漲幅門檻,跌幅門檻
3665,貿聯-KY,高,3,3,連續3日注意股（已達連續3日標準）,1740.0,+6.0% (>1743.70),-6.0% (<1546.30)
3092,鴻碩,高,5,4,連續4日注意股（已達連續3日標準）,35.3,+6.0% (>37.42),-6.0% (<33.18)
6456,GIS-KY,高,3,3,連續3日注意股（已達連續3日標準）,60.4,+6.0% (>63.39),-6.0% (<56.21)
4989,榮科,高,8,3,連續3日注意股（已達連續3日標準）,68.7,+6.0% (>71.44),-6.0% (<63.36)
4956,光鋐,高,3,3,連續3日注意股（已達連續3日標準）,32.65,+6.0% (>34.40),-6.0% (<30.50)
4949,有成精密,高,4,4,連續4日注意股（已達連續3日標準）,66.4,+6.0% (>70.38),-6.0% (<62.42)
2243,宏旭-KY,高,3,3,連續3日注意股（已達連續3日標準）,18.85,+6.0% (>18.18),-6.0% (<16.12)
3645,達邁,高,3,3,連續3日注意股（已達連續3日標準）,82.9,+6.0% (>88.19),-6.0% (<78.21)
3189,景碩,高,7,3,連續3日注意股（已達連續3日標準）,341.5,+6.0% (>357.22),-6.0% (<316.78)
3167,大量,高,5,3,連續3日注意股（已達連續3日標準）,331.0,+6.0% (>389.02),-6.0% (<344.98)
6152,百一,高,3,3,連續3日注意股（已達連續3日標準）,19.25,+6.0% (>19.93),-6.0% (<17.67)
3005,神基,高,3,3,連續3日注意股（已達連續3日標準）,138.0,+6.0% (>143.63),-6.0% (<127.37)
2618,長榮航,高,3,3,連續3日注意股（已達連續3日標準）,35.7,+6.0% (>36.89),-6.0% (<32.71)
2489,瑞軒,高,7,4,連續4日注意股（已達連續3日標準）,39.9,+6.0% (>44.41),-6.0% (<39.39)
2486,一詮,高,3,3,連續3日注意股（已達連續3日標準）,162.5,+6.0% (>156.88),-6.0% (<139.12)
7610,聯友金屬-創,高,4,4,連續4日注意股（已達連續3日標準）,314.0,+6.0% (>328.60),-6.0% (<291.40)
2368,金像電,高,3,3,連續3日注意股（已達連續3日標準）,917.0,+6.0% (>963.54),-6.0% (<854.46)
2367,燿華,高,7,4,連續4日注意股（已達連續3日標準）,76.8,+6.0% (>78.44),-6.0% (<69.56)
8033,雷虎,高,5,3,連續3日注意股（已達連續3日標準）,142.0,+6.0% (>151.58),-6.0% (<134.42)
6443,元晶,極高,10,7,連續7日注意股（已達連續3日標準）,52.2,+6.0% (>54.48),-6.0% (<48.32)
6861,睿生光電,極高,8,5,連續5日注意股（已達連續3日標準）,157.5,+6.0% (>165.89),-6.0% (<147.11)
6715,嘉基,極高,8,7,連續7日注意股（已達連續3日標準）,307.0,+6.0% (>327.54),-6.0% (<290.46)
6830,汎銓,極高,6,6,連續6日注意股（已達連續3日標準）,371.5,+6.0% (>376.30),-6.0% (<333.70)
1589,永冠-KY,極高,8,8,連續8日注意股（已達連續3日標準）,7.9,+6.0% (>9.30),-6.0% (<8.24)
6230,尼得科超眾,極高,5,5,連續5日注意股（已達連續3日標準）,170.0,+6.0% (>182.85),-6.0% (<162.15)
5521,工信,極高,5,5,連續5日注意股（已達連續3日標準）,14.0,+6.0% (>14.84),-6.0% (<13.16)
4960,誠美材,極高,6,6,連續6日注意股（已達連續3日標準）,26.15,+6.0% (>27.08),-6.0% (<24.02)
3054,立萬利,極高,9,6,連續6日注意股（已達連續3日標準）,87.3,+6.0% (>84.16),-6.0% (<74.64)
2467,志聖,極高,5,5,連續5日注意股（已達連續3日標準）,376.5,+6.0% (>401.21),-6.0% (<355.79)
2426,鼎元,極高,7,7,連續7日注意股（已達連續3日標準）,36.8,+6.0% (>36.52),-6.0% (<32.38)
2337,旺宏,極高,9,5,連續5日注意股（已達連續3日標準）,130.5,+6.0% (>126.14),-6.0% (<111.86)
8271,宇瞻,極高,5,5,連續5日注意股（已達連續3日標準）,186.0,+6.0% (>201.93),-6.0% (<179.07)
