股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
2436,偉詮電,69.3,10.0,1481.0,3671.12,-5.0,-5.0
6182,合晶,36.9,9.98,905.0,1128.05,0.0,0.0
2495,普安,35.95,9.93,1773.6,-2578.66,0.0,0.0
3060,銘異,31.55,9.93,511.0,521.0,0.0,0.0
6179,亞通,28.8,9.92,-352.0,-332.0,0.0,0.0
8021,尖點,260.5,9.91,486.69,-1748.52,-4.0,3.0
3105,穩懋,322.5,9.88,-5966.75,-10156.41,238.0,238.0
2449,京元電子,323.0,9.86,2071.76,-3919.94,-1685.0,-2193.29
1809,中釉,29.55,9.85,2193.0,2069.0,0.0,0.0
5483,中美晶,129.0,9.78,3157.76,5082.91,-573.28,-636.91
