股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1102,亞泥,36.55,0.55%,11488,1.82
1310,台苯,11.8,16.26%,38501,2.67
1314,中石化,10.4,29.35%,368709,4.45
1434,福懋,18.95,12.13%,15464,3.58
1440,南紡,14.6,8.15%,14971,1.82
1515,力山,42.75,56.02%,10900,4.56
1609,大亞,43.75,13.2%,27412,1.82
1708,東鹼,61.7,19.57%,15403,1.96
1718,中纖,15.2,55.42%,318065,5.95
1810,和成,23.7,11.01%,23364,2.95
2103,台橡,24.2,13.08%,29304,1.83
2352,佳世達,35.4,12.56%,51699,2.96
2634,漢翔,60.3,20.36%,83376,5.54
2645,長榮航太,238.0,37.18%,13806,4.07
4541,晟田,66.7,30.78%,13483,4.05
4707,磐亞,35.75,54.09%,14636,2.65
5371,中光電,102.0,36.73%,54993,5.11
6174,安碁,63.0,23.53%,12762,1.79
6505,台塑化,59.5,10.19%,18653,1.82
