股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1503,士電,248.0,8.06%,10492,1.89
1513,中興電,185.0,9.14%,21240,1.55
1708,東鹼,52.2,15.1%,11726,1.69
2302,麗正,50.2,47.86%,11081,3.22
2401,凌陽,34.8,31.32%,21959,1.77
2483,百容,46.1,37.2%,11990,3.63
2610,華航,23.25,19.23%,146260,2.32
2618,長榮航,44.0,18.92%,89685,2.26
2646,星宇航空,21.7,7.43%,12524,1.85
3094,聯傑,45.25,48.6%,14669,3.48
3481,群創,69.4,41.34%,1097640,1.55
5285,界霖,110.0,26.0%,13276,2.73
5328,華容,58.1,35.91%,28356,1.94
6168,宏齊,35.5,41.72%,48206,2.11
6695,芯鼎,68.9,32.25%,12353,2.07
6719,力智,297.5,33.11%,14515,3.47
8054,安國,136.5,32.52%,19951,2.51
8105,凌巨,23.5,8.55%,36347,1.82
