股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
6121,新普,BBU_電池模組,-2.65,0.0,684
3625,西勝,BBU_電池模組,-5.29,-3.3,510
6781,AES-KY,BBU_電池模組,-5.8,-4.41,1282
6558,興能高,BBU_電池模組,-5.87,-3.83,781
3323,加百裕,BBU_電池模組,-7.27,-3.91,1350
4931,新盛力,BBU_電池模組,-8.71,-6.23,1629
3211,順達,BBU_電池模組,-9.01,0.34,6678
3625,西勝,BBU_電源供應器與整合,-5.29,-3.3,510
2301,光寶科,BBU_電源供應器與整合,-6.29,-4.18,21883
5309,系統電,BBU_電源供應器與整合,-6.83,-4.61,4216
3305,昇貿,BBU_電源供應器與整合,-7.01,-5.67,3226
2308,台達電,BBU_電源供應器與整合,-7.58,-2.79,23398
6515,穎崴,CPO_先進封裝測試,-5.14,10.06,806
3265,台星科,CPO_先進封裝測試,-9.78,-1.97,1643
6257,矽格,CPO_先進封裝測試,-9.92,-6.72,9151
3363,上詮,CPO_先進封裝測試,-9.97,-4.65,725
6451,訊芯-KY,CPO_先進封裝測試,-10.0,-8.56,2478
6442,光聖,CPO_光通訊,-9.76,-18.57,221
4977,眾達-KY,CPO_光通訊,-9.88,-5.64,4332
4979,華星光,CPO_光通訊,-9.89,-18.4,1424
2455,全新,CPO_光通訊,-9.91,-13.69,3262
3163,波若威,CPO_光通訊,-9.96,-9.71,1241
3081,聯亞,CPO_光通訊,-10.0,-2.88,2988
6533,晶心科,IC設計,-4.74,0.79,455
2388,威盛,IC設計,-5.43,-2.25,3009
2454,聯發科,IC設計,-5.67,-3.2,12529
6531,愛普*,IC設計,-7.25,-0.25,3007
6643,M31,IC設計,-7.84,-7.22,863
3443,創意,IC設計,-8.18,-3.95,1958
3443,創意,IC設計,-8.18,-3.95,1958
3529,力旺,IC設計,-8.37,-2.88,535
8054,安國,IC設計,-8.44,-9.72,2713
3035,智原,IC設計,-9.15,-8.86,4191
3035,智原,IC設計,-9.15,-8.86,4191
3661,世芯-KY,IC設計,-9.52,-4.01,2382
3661,世芯-KY,IC設計,-9.52,-4.01,2382
2368,金像電,PCB,-3.91,7.33,11468
2316,楠梓電,PCB,-6.56,-3.55,3179
5469,瀚宇博,PCB,-6.72,-5.54,6138
4958,臻鼎-KY,PCB,-7.14,-9.22,20587
2383,台光電,PCB,-7.84,-0.68,3391
1815,富喬,PCB,-8.4,-6.18,13318
3189,景碩,PCB,-9.26,-7.03,16857
3715,定穎投控,PCB,-9.45,-4.14,23600
6213,聯茂,PCB,-9.8,-5.35,9703
2313,華通,PCB,-9.85,-13.27,28487
8358,金居,PCB,-9.88,-11.26,2738
8046,南電,PCB,-9.9,-6.0,710
6274,台燿,PCB,-9.92,-7.44,5727
3037,欣興,PCB,-9.95,-6.71,16081
2367,燿華,PCB,-10.0,-12.54,17701
2368,金像電,TPU_伺服器主板與印刷電路板,-3.91,7.33,11468
5469,瀚宇博,TPU_伺服器主板與印刷電路板,-6.72,-5.54,6138
2383,台光電,TPU_伺服器主板與印刷電路板,-7.84,-0.68,3391
3715,定穎投控,TPU_伺服器主板與印刷電路板,-9.45,-4.14,23600
3037,欣興,TPU_伺服器主板與印刷電路板,-9.95,-6.71,16081
2345,智邦,TPU_光通訊與連接器,-5.8,5.75,5813
6442,光聖,TPU_光通訊與連接器,-9.76,-18.57,221
6805,富世達,TPU_光通訊與連接器,-9.76,1.22,1323
3081,聯亞,TPU_光通訊與連接器,-10.0,-2.88,2988
3324,雙鴻,TPU_散熱,-9.61,-8.02,4815
3017,奇鋐,TPU_散熱,-9.76,-4.86,4090
6805,富世達,TPU_散熱,-9.76,1.22,1323
6831,未知,TPU_散熱,-9.95,-17.47,1040
6443,元晶,低軌衛星,1.66,7.47,129970
2345,智邦,低軌衛星,-5.8,5.75,5813
2485,兆赫,低軌衛星,-8.54,3.21,84581
6190,萬泰科,低軌衛星,-9.47,-7.66,4738
2313,華通,低軌衛星,-9.85,-13.27,28487
3491,昇達科,低軌衛星,-9.92,-22.88,440
2367,燿華,低軌衛星,-10.0,-12.54,17701
6668,中揚光,光學元件或組裝,-3.38,-0.15,341
