股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
1304,台聚,2026-03-09,14.4,13.8,-4.17%,58680,10078,5.82
1308,亞聚,2026-03-09,16.5,15.7,-4.85%,35238,4538,7.76
1309,台達化,2026-03-09,15.3,15.3,0.0%,26060,4160,6.26
1310,台苯,2026-03-09,11.7,11.55,-1.28%,42820,7146,5.99
1312,國喬,2026-03-09,15.35,13.95,-9.12%,90295,13149,6.87
1337,再生-KY,2026-03-09,6.34,6.21,-2.05%,8127,1067,7.62
1529,樂事綠能,2026-03-09,27.05,26.15,-3.33%,20086,3275,6.13
1718,中纖,2026-03-09,7.98,7.56,-5.26%,34899,6756,5.17
2426,鼎元,2026-03-09,22.0,25.05,13.86%,40257,4294,9.37
9908,大台北,2026-03-09,33.3,34.5,3.6%,19358,1861,10.4
1305,華夏,2026-03-09,14.55,14.05,-3.44%,39964,6119,6.53
2616,山隆,2026-03-09,23.9,23.9,0.0%,6441,813,7.92
3093,港建*,2026-03-09,31.6,34.0,7.59%,10995,1071,10.26
6715,嘉基,2026-03-09,195.5,233.5,19.44%,6241,1151,5.42
6141,柏承,2026-03-06,18.5,16.8,-9.19%,12120,1371,8.84
6761,穩得,2026-03-06,168.5,156.0,-7.42%,7924,1478,5.36
9908,大台北,2026-03-06,31.5,34.5,9.52%,5169,912,5.66
4952,凌通,2026-03-06,48.25,46.35,-3.94%,10409,1665,6.25
2543,皇昌,2026-03-06,72.0,72.5,0.69%,28761,4435,6.49
6757,台灣虎航,2026-03-05,56.9,49.9,-12.3%,8610,1617,5.32
4123,晟德,2026-03-05,49.8,44.55,-10.54%,45475,7728,5.88
2601,益航,2026-03-05,7.22,6.91,-4.29%,35660,4086,8.73
