股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1711,永光,47.95,23.11%,73476,1.85
1717,長興,81.0,35.0%,84708,1.86
1802,台玻,74.2,37.66%,346753,2.29
2049,上銀,291.0,24.63%,12709,2.18
2340,台亞,32.3,27.67%,32717,2.71
2376,技嘉,281.5,21.34%,10874,2.17
2388,威盛,65.3,24.38%,14663,2.43
2402,毅嘉,77.7,50.58%,39487,4.03
2476,鉅祥,115.0,36.26%,10760,3.63
2484,希華,42.4,35.68%,45765,4.38
3042,晶技,151.5,61.34%,10196,4.86
3090,日電貿,108.5,17.3%,11660,2.34
3339,泰谷,69.3,77.46%,14120,2.91
3437,榮創,27.2,20.62%,14367,3.36
3450,聯鈞,366.0,47.88%,24421,1.5
3645,達邁,104.5,42.95%,42594,2.88
3673,TPK-KY,72.1,65.94%,41636,4.33
3714,富采,77.9,58.01%,153094,4.19
4919,新唐,129.0,36.51%,10417,1.86
5340,建榮,134.0,33.33%,41978,1.82
6168,宏齊,28.8,21.78%,23015,1.93
6175,立敦,64.6,34.44%,13588,3.93
6213,聯茂,270.5,65.95%,66569,2.2
6278,台表科,157.0,65.26%,27549,6.98
6456,GIS-KY,77.6,42.65%,44411,3.44
6706,惠特,151.5,31.74%,12121,2.02
6789,采鈺,430.0,35.22%,11751,2.55
8086,宏捷科,148.5,20.73%,26317,1.6
8261,富鼎,127.5,28.4%,10714,1.53
8289,泰藝,49.65,34.01%,21638,3.54
8358,金居,367.5,51.23%,40256,2.84
