股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1503,士電,218.0,28.61%,15191,3.69
1513,中興電,176.5,20.07%,46776,4.25
1514,亞力,127.0,31.33%,34598,4.34
1528,恩德,31.7,45.08%,50733,2.32
1802,台玻,50.5,47.88%,420681,1.68
1809,中釉,27.5,51.1%,16334,5.05
1815,富喬,109.0,23.86%,267648,1.77
2303,聯電,67.8,37.8%,471877,3.13
2313,華通,148.0,43.0%,69647,2.06
2324,仁寶,32.6,5.84%,87602,1.8
2329,華泰,69.9,23.94%,79605,1.88
2342,茂矽,36.75,11.7%,10575,1.71
2367,燿華,37.65,30.73%,69215,4.08
2369,菱生,32.35,33.4%,101213,2.96
2371,大同,42.75,39.71%,178862,4.55
2441,超豐,107.5,19.84%,23119,1.79
2455,全新,184.5,24.66%,19312,2.49
2484,希華,30.0,48.15%,16926,8.32
2489,瑞軒,19.15,10.69%,54395,3.28
2492,華新科,148.0,14.29%,38241,2.11
2610,華航,21.9,6.83%,54108,1.84
2618,長榮航,38.2,5.23%,83989,1.83
2634,漢翔,57.4,10.17%,37011,1.63
3016,嘉晶,66.0,15.99%,15245,2.16
3037,欣興,308.0,33.62%,117003,1.84
3049,精金,9.21,40.83%,25459,3.16
3149,正達,51.8,33.16%,30831,4.93
3372,典範,25.65,24.51%,11050,2.5
3535,晶彩科,115.5,26.09%,21933,2.39
3576,聯合再生,11.35,33.84%,23532,2.37
3707,漢磊,61.9,11.93%,27787,2.06
3714,富采,37.15,4.5%,11442,1.98
4526,東台,37.0,15.62%,12128,3.43
4540,全球傳動,45.35,19.66%,12564,5.17
5328,華容,33.6,60.77%,58824,2.54
5340,建榮,101.5,56.88%,19885,1.68
5347,世界,141.5,42.21%,52292,3.6
5381,合正,33.45,36.25%,14700,4.13
5425,台半,69.6,34.36%,14819,3.42
6122,擎邦,62.7,24.9%,10693,5.6
6217,中探針,63.8,30.74%,46476,2.44
6282,康舒,63.8,47.34%,153670,2.98
6415,矽力*-KY,252.0,22.03%,18818,1.65
6443,元晶,40.8,57.83%,130367,3.4
8150,南茂,71.7,39.22%,91275,2.09
