股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1721,三晃,17.35,54.22%,12981,6.7
2449,京元電子,267.5,24.42%,57297,1.58
2451,創見,203.0,12.47%,17563,2.8
3006,晶豪科,129.5,58.51%,32963,2.12
3048,益登,45.7,18.09%,27619,1.52
3264,欣銓,126.5,39.47%,50268,4.13
3402,漢科,142.5,9.62%,11779,3.87
3481,群創,18.1,43.08%,788088,5.9
3624,光頡,64.2,18.45%,47636,2.06
3689,湧德,127.0,27.51%,13268,2.15
4967,十銓,193.5,33.45%,36809,1.7
4989,榮科,54.3,36.95%,40315,2.22
5351,鈺創,55.8,40.38%,34120,2.79
5452,佶優,30.9,26.38%,11361,6.53
6239,力成,183.5,13.27%,20224,1.57
6257,矽格,117.0,21.24%,27540,3.62
6265,方土昶,33.45,69.37%,67288,3.36
8028,昇陽半導體,186.5,13.72%,21388,1.74
8131,福懋科,66.7,45.79%,62201,2.22
8431,匯鑽科,74.1,18.94%,11828,3.19
