股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
3048,益登,45.7,9.99,-235.0,-431.43,0.0,0.0
2472,立隆電,117.5,9.81,168.98,73.42,-1.0,-36.0
8431,匯鑽科,74.1,9.78,-82.0,-269.89,0.0,0.0
3090,日電貿,108.0,9.76,-2527.9,-3277.9,539.55,1616.55
5452,佶優,30.9,9.57,384.0,-5.0,0.0,0.0
8110,華東,62.3,8.92,151.86,360.46,0.0,0.0
2492,華新科,124.5,6.41,262.02,-193.96,0.0,0.0
1711,永光,20.3,6.0,232.0,-1720.0,0.0,0.0
8028,昇陽半導體,186.5,4.78,3308.89,4057.97,543.0,627.0
2327,國巨,241.0,4.33,-6277.99,-9699.29,7471.86,9627.92
6173,信昌電,70.3,4.3,1089.0,510.05,0.0,0.0
2308,台達電,995.0,3.32,1007.76,962.21,-131.6,-470.5
