股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1711,永光,54.2,60.59%,122046,1.91
1802,台玻,74.2,38.18%,190381,2.24
2351,順德,151.0,38.53%,15576,1.78
2376,技嘉,288.5,29.66%,15844,2.24
2388,威盛,72.8,46.48%,15279,2.99
2399,映泰,41.95,21.59%,16909,2.41
2436,偉詮電,75.1,29.71%,27574,1.93
2476,鉅祥,122.0,41.37%,10898,3.69
2484,希華,49.25,69.24%,40639,4.07
3221,台嘉碩,53.6,53.14%,19466,2.23
3701,大眾控,71.5,33.15%,20177,1.6
4707,磐亞,15.9,40.09%,11336,4.54
4720,德淵,25.35,40.44%,13826,3.74
4903,聯光通,53.2,18.35%,25296,1.74
4919,新唐,144.5,64.58%,79756,1.94
4927,泰鼎-KY,53.2,26.82%,29745,1.71
4960,誠美材,40.9,107.09%,18302,2.14
5483,中美晶,134.5,26.89%,25550,1.76
6153,嘉聯益,20.65,30.7%,16327,1.63
6205,詮欣,89.1,72.01%,11873,3.89
6213,聯茂,286.0,52.94%,51314,2.52
6261,久元,92.2,16.41%,11042,3.43
8289,泰藝,56.6,59.89%,13524,3.91
8383,千附,72.0,62.53%,11461,5.29
