股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1528,恩德,23.1,44.83%,92183,6.39
2402,毅嘉,65.5,7.03%,17483,2.76
2413,環科,48.1,44.66%,50049,4.58
2451,創見,196.0,10.42%,31586,2.17
2495,普安,32.7,15.14%,13069,1.6
3260,威剛,260.5,40.05%,38678,1.58
3264,欣銓,113.5,22.17%,48982,3.35
3701,大眾控,53.6,39.04%,20228,7.89
4123,晟德,41.45,10.24%,12772,2.26
4967,十銓,172.0,26.47%,24615,1.74
4979,華星光,313.5,22.94%,28760,1.99
5351,鈺創,49.05,22.93%,54079,1.85
5498,凱崴,54.1,67.49%,115533,2.63
6257,矽格,115.0,17.23%,38597,3.21
6265,方土昶,29.25,42.68%,30672,2.11
8131,福懋科,58.9,26.67%,27087,2.34
