公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
辛耘,3583,339.0,辛耘二,35832,337.4,-0.47,1116430,522417.0,34,17.0
智崴,5263,113.5,智崴五,52635,110.6,-2.56,2158344,636788.0,91,25.0
辛耘,3583,339.0,辛耘一,35831,349.3,3.04,1116430,522417.0,19,5.0
歐買尬,3687,84.2,歐買尬三,36873,80.1,-4.87,423454,208522.0,5,1.0
