股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
8043,蜜望實,2026-04-14,89.9,85.0,-5.45%,17799,2407,7.39
6173,信昌電,2026-04-14,72.6,73.3,0.96%,22097,3530,6.26
2402,毅嘉,2026-04-14,71.0,72.4,1.97%,69763,13798,5.06
8042,金山電,2026-04-14,63.5,65.0,2.36%,12039,2076,5.8
6278,台表科,2026-04-14,125.0,125.0,0.0%,32258,3291,9.8
3042,晶技,2026-04-14,138.0,133.5,-3.26%,50693,7642,6.63
3406,玉晶光,2026-04-14,490.0,518.0,5.71%,5959,1122,5.31
2375,凱美,2026-04-14,87.9,85.2,-3.07%,9403,1799,5.23
4540,全球傳動,2026-04-14,49.0,51.9,5.92%,10696,1862,5.74
6224,聚鼎,2026-04-13,47.0,52.6,11.91%,6917,491,14.06
3490,單井,2026-04-13,26.7,28.35,6.18%,7552,1509,5.0
4566,時碩工業,2026-04-13,67.0,72.6,8.36%,8784,1416,6.2
3031,佰鴻,2026-04-13,28.35,31.1,9.7%,32357,5571,5.81
2466,冠西電,2026-04-13,65.0,65.8,1.23%,5719,1000,5.72
3042,晶技,2026-04-10,115.0,133.5,16.09%,37828,4427,8.54
6278,台表科,2026-04-10,95.2,125.0,31.3%,7759,1531,5.07
1717,長興,2026-04-10,77.6,81.0,4.38%,218314,43042,5.07
