股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1717,長興,81.0,31.28%,113970,2.4
2382,廣達,323.0,11.76%,20523,1.81
2409,友達,19.8,37.5%,556950,1.73
2426,鼎元,52.9,46.94%,71718,3.59
2476,鉅祥,105.5,22.67%,11665,3.83
3026,禾伸堂,229.5,51.99%,22225,3.88
3042,晶技,133.5,46.54%,50693,6.3
3339,泰谷,52.1,33.08%,13693,3.53
4576,大銀微系統,192.5,42.07%,17756,3.68
4720,德淵,20.55,11.38%,15447,3.24
4908,前鼎,142.5,26.67%,15527,2.27
4956,光鋐,41.8,19.6%,26550,1.81
4989,榮科,89.4,38.39%,20627,1.63
5439,高技,360.5,18.59%,18033,2.86
6120,達運,15.05,16.67%,12107,2.75
6127,九豪,48.15,15.19%,54383,1.94
6213,聯茂,224.0,41.77%,30166,1.97
6257,矽格,182.0,24.66%,20066,1.69
6278,台表科,125.0,30.07%,32258,4.45
6451,訊芯-KY,476.0,30.41%,11151,1.65
6789,采鈺,407.0,26.2%,17000,1.7
