排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,BBU_電源供應器與整合,0.96,100.0,5/5,-29.7,-44.75,-4.1,-10.44
2,IC設計,4.91,100.0,13/13,27.36,38.81,17.48,9.39
3,銀,4.54,100.0,4/4,41.95,152.79,11.41,17.21
4,軍工_航太製造與維修,2.02,100.0,6/6,0.84,1.04,-0.01,-0.02
5,軍工_無人機相關,2.74,100.0,9/9,4.08,-11.31,1.9,-10.99
6,機器人,4.64,92.86,13/14,-39.41,-30.42,-2.74,-8.63
7,電器電纜,1.83,90.0,9/10,4.82,3.61,-0.04,-0.61
8,銅,5.32,90.0,9/10,74.14,77.06,0.26,-0.31
9,工業自動化與機器人,5.08,85.71,6/7,-2.52,1.54,0.16,-0.02
10,記憶體模組,1.99,85.71,6/7,4.86,-22.53,4.03,7.22
11,玻璃,2.59,80.0,12/15,49.43,-133.24,-13.59,174.17
12,記憶體控制IC,0.33,80.0,4/5,-0.69,-0.95,-0.01,-0.26
13,無塵室與機電工程,1.71,80.0,4/5,2.09,-13.52,-4.61,-11.99
14,光學元件或組裝,2.37,80.0,12/15,-0.44,19.4,-12.32,-17.11
15,CPO_先進封裝測試,0.48,80.0,4/5,-11.59,-33.57,0.6,11.09
16,被動元件,3.02,78.95,15/19,3.08,120.68,8.82,9.76
17,記憶體封裝與測試,0.56,75.0,3/4,-25.31,-25.45,-2.71,-5.09
18,TPU_散熱,1.64,75.0,3/4,27.12,-11.99,-7.75,-20.34
19,軟體設計,0.5,73.33,11/15,0.43,0.48,-0.0,-0.01
20,紡織,0.81,70.0,14/20,1.24,-2.76,-0.6,-0.75
21,電池或電源,0.83,65.0,13/20,-30.02,-50.28,-12.82,-26.09
22,金融,1.16,63.16,12/19,104.48,169.49,1.05,0.81
23,塑膠,1.19,61.11,11/18,104.48,169.49,1.05,0.81
24,TPU_伺服器主板與印刷電路板,3.56,60.0,3/5,29.35,-165.93,-10.97,183.22
25,PCB,2.55,60.0,9/15,-22.3,-333.91,-26.63,160.34
26,化學,1.22,55.0,11/20,101.96,171.98,1.26,-8.35
27,鋼鐵,0.44,53.33,8/15,-2.66,-23.07,-1.63,-6.07
28,網通設備組件,-0.18,50.0,10/20,-18.5,-71.36,-6.13,-16.85
29,記憶體製造,0.55,50.0,2/4,-53.69,-0.99,3.81,-5.81
30,半導體設備,1.05,42.86,3/7,-3.0,12.02,1.92,1.33
31,BBU_電池模組,-0.38,42.86,3/7,-2.95,-8.79,-8.28,-14.25
32,航運,-0.1,33.33,5/15,4.64,-10.87,-1.81,-3.43
33,低軌衛星,-2.02,28.57,2/7,-65.17,-89.66,-8.38,-11.24
34,造紙,-0.26,28.57,2/7,0.0,0.27,0.0,-0.0
35,TPU_光通訊與連接器,-2.83,25.0,1/4,-29.68,-7.26,-17.19,-22.97
36,CPO_光通訊,-2.71,16.67,1/6,-33.51,-26.62,-13.16,-16.26
37,廠務系統與水處理,-1.15,14.29,1/7,-1.94,-6.81,0.0,1.23
