股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
2406,國碩,2025-12-12,26.65,27.0,1.31%,71622,12258,5.84
3265,台星科,2025-12-12,115.5,108.0,-6.49%,10376,1343,7.72
6426,統新,2025-12-12,92.7,97.5,5.18%,7939,1220,6.5
2331,精英,2025-12-12,23.1,25.15,8.87%,34254,4327,7.92
4906,正文,2025-12-12,28.0,27.9,-0.36%,21859,2881,7.59
3576,聯合再生,2025-12-12,6.49,7.04,8.47%,24883,4969,5.01
6443,元晶,2025-12-12,17.9,19.25,7.54%,89382,13471,6.63
2323,中環,2025-12-12,11.1,11.0,-0.9%,63261,8645,7.32
3313,斐成,2025-12-11,18.4,15.5,-15.76%,8104,897,9.03
5206,坤悅,2025-12-11,30.75,30.75,0.0%,6020,335,17.93
2441,超豐,2025-12-11,80.0,80.8,1.0%,49479,5811,8.51
2402,毅嘉,2025-12-11,68.0,63.8,-6.18%,72477,11628,6.23
6443,元晶,2025-12-11,17.45,19.25,10.32%,104371,9091,11.48
2331,精英,2025-12-11,21.5,25.15,16.98%,20780,2725,7.63
2323,中環,2025-12-11,10.1,11.0,8.91%,34781,5666,6.14
6120,達運,2025-12-10,13.0,13.2,1.54%,22603,3349,6.75
1785,光洋科,2025-12-10,61.1,64.7,5.89%,30630,5437,5.63
3294,英濟,2025-12-10,43.75,40.85,-6.63%,10868,2037,5.33
4927,泰鼎-KY,2025-12-10,25.55,29.15,14.09%,33141,5533,5.99
2388,威盛,2025-12-10,63.2,64.1,1.42%,43558,5066,8.6
2367,燿華,2025-12-10,27.0,25.5,-5.56%,37016,6707,5.52
6443,元晶,2025-12-10,16.05,19.25,19.94%,24942,4006,6.23
