排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2892,第一金,金融保險業,上市,19643,137128
2,5880,合庫金,金融保險業,上市,11675,45267
3,2845,遠東銀,金融保險業,上市,8670,39150
4,2886,兆豐金,金融保險業,上市,5381,37565
5,2867,三商壽,金融保險業,上市,6146,33767
6,1216,統一,食品工業,上市,6123,16865
7,3045,台灣大,通信網路業,上市,1831,16751
8,2501,國建,建材營造業,上市,963,12148
9,2897,王道銀行,金融保險業,上市,474,9766
10,8454,富邦媒,數位雲端,上市,132,5291
11,2903,遠百,貿易百貨業,上市,2344,4744
12,4306,炎洲,塑膠工業,上市,1658,4637
13,1722,台肥,化學工業,上市,1993,4317
14,5534,長虹,建材營造業,上市,762,3469
15,1909,榮成,造紙工業,上市,826,3466
16,3152,璟德,通信網路業,上櫃,1260,3250
17,6173,信昌電,電子零組件業,上櫃,36,3013
18,2351,順德,半導體業,上市,22,2889
19,1307,三芳,塑膠工業,上市,1207,2837
20,2915,潤泰全,貿易百貨業,上市,1679,2686
21,2101,南港,橡膠工業,上市,712,2653
22,2405,輔信,電腦及週邊設備業,上市,306,2588
23,4904,遠傳,通信網路業,上市,362,2389
24,2476,鉅祥,電子零組件業,上市,247,2384
25,9921,巨大,運動休閒,上市,135,2300
26,3026,禾伸堂,電子零組件業,上市,1361,2221
27,5522,遠雄,建材營造業,上市,172,1729
28,5285,界霖,半導體業,上市,408,1589
29,8476,台境*,綠能環保,上市,242,1519
30,9939,宏全,其他業,上市,430,1488
31,9917,中保科,其他業,上市,559,1293
32,5471,松翰,半導體業,上市,809,1289
33,3322,建舜電,電子零組件業,上櫃,124,1257
34,5608,四維航,航運業,上市,438,1053
35,6024,群益期,金融保險業,上市,159,875
36,4541,晟田,其他業,上櫃,258,853
37,4971,IET-KY,半導體業,上櫃,14,819
38,1477,聚陽,紡織纖維,上市,16,788
39,5288,豐祥-KY,電機機械,上市,110,788
40,3004,豐達科,鋼鐵工業,上市,22,766
41,1532,勤美,電機機械,上市,194,727
42,2753,八方雲集,觀光餐旅,上市,212,623
43,5904,寶雅,居家生活,上櫃,100,618
44,3515,華擎,電腦及週邊設備業,上市,92,578
45,8927,北基,油電燃氣業,上櫃,47,528
46,2727,王品,觀光餐旅,上市,157,515
47,9911,櫻花,居家生活,上市,13,484
48,8255,朋程,電機機械,上櫃,18,418
49,6670,復盛應用,運動休閒,上市,42,393
50,8415,大國鋼,鋼鐵工業,上櫃,117,393
51,8341,日友,綠能環保,上市,69,390
52,5515,建國,建材營造業,上市,171,362
53,8436,大江,生技醫療業,上櫃,81,357
54,8464,億豐,居家生活,上市,139,347
55,5511,德昌,建材營造業,上櫃,77,271
56,4536,拓凱,運動休閒,上市,93,259
57,1527,鑽全,電機機械,上市,45,243
58,2480,敦陽科,資訊服務業,上市,15,223
59,1540,喬福,電機機械,上市,34,209
60,2723,美食-KY,觀光餐旅,上市,17,199
61,5291,邑昇,電子零組件業,上櫃,18,197
62,2611,志信,航運業,上市,38,141
63,6625,必應,其他業,上市,22,137
64,6570,維田,電腦及週邊設備業,上櫃,22,124
65,2066,世德,電機機械,上櫃,23,124
66,5403,中菲,資訊服務業,上櫃,32,113
67,2114,鑫永銓,橡膠工業,上市,22,69
68,6418,詠昇,電子零組件業,上櫃,31,61
69,5529,鉅陞,建材營造業,上櫃,9,39
70,2908,特力,貿易百貨業,上市,4,24
