股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1714,和桐,16.7,70.23%,50826,5.75
2327,國巨,940.0,18.99%,42102,1.81
2413,環科,62.5,17.48%,17962,3.19
2478,大毅,188.5,30.9%,10643,3.76
2483,百容,38.15,49.61%,17828,6.68
2484,希華,73.3,37.78%,85449,3.6
2542,興富發,45.45,6.69%,12409,2.53
2610,華航,21.4,9.46%,85921,1.61
2801,彰銀,22.65,10.76%,31499,2.22
2867,三商壽,8.37,9.7%,21746,2.1
3042,晶技,243.5,20.25%,48812,3.55
3090,日電貿,281.5,20.56%,13979,2.07
3236,千如,69.5,21.29%,38997,1.92
3303,岱稜,62.9,27.85%,11583,5.37
3357,臺慶科,322.0,13.18%,14143,3.09
3441,聯一光,73.7,35.98%,11050,4.22
3624,光頡,129.5,14.6%,28538,3.0
4939,亞電,70.5,27.03%,32442,3.7
5328,華容,46.55,16.96%,26346,2.91
5876,上海商銀,42.9,7.79%,13110,1.6
6153,嘉聯益,24.45,32.16%,21570,3.55
6155,鈞寶,90.2,30.72%,18777,3.4
6175,立敦,108.0,8.22%,12577,2.09
6244,茂迪,31.9,4.25%,21845,2.16
6834,天二科技,90.9,18.05%,13199,2.93
8043,蜜望實,202.5,30.65%,12328,1.88
8182,加高,57.0,28.52%,11964,4.47
