公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
毅嘉,2402,52.8,毅嘉三,24023,55.0,4.17,22058938,9033075.0,175,68.0
力士,4923,36.3,力士一,49231,34.66,-4.52,134540,56904.0,1,0.0
