排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,PCB,5.55,100.0,15/15,111.43,-45.31,-5.72,126.66
2,TPU_伺服器主板與印刷電路板,3.94,100.0,5/5,89.38,-7.21,-11.88,88.31
3,軍工_航太製造與維修,3.67,100.0,6/6,7.41,5.81,0.0,-0.67
4,軟體設計,2.18,100.0,15/15,1.44,-2.24,-0.05,-0.08
5,低軌衛星,4.94,100.0,7/7,7.54,9.92,-1.6,17.05
6,無塵室與機電工程,1.99,100.0,5/5,4.42,11.16,-2.95,-6.93
7,機器人,4.89,100.0,14/14,15.17,32.35,-0.47,-23.59
8,IC設計,3.88,92.31,12/13,90.78,135.6,-2.67,68.23
9,半導體設備,2.32,85.71,6/7,4.5,18.24,-0.09,-0.45
10,工業自動化與機器人,5.04,85.71,6/7,5.46,8.86,0.74,5.65
11,塑膠,1.51,83.33,15/18,-9.83,-113.57,-7.45,15.58
12,CPO_光通訊,7.78,83.33,5/6,-21.77,-17.44,-0.64,0.57
13,網通設備組件,3.9,80.0,16/20,112.66,212.32,9.83,97.39
14,記憶體控制IC,3.5,80.0,4/5,10.47,28.75,-0.01,-0.02
15,銅,3.36,80.0,8/10,-4.44,-195.33,-22.22,36.73
16,CPO_先進封裝測試,4.55,80.0,4/5,-2.7,-9.08,-2.27,-3.72
17,金融,1.31,78.95,15/19,-9.83,-113.57,-7.45,15.58
18,軍工_無人機相關,3.16,77.78,7/9,84.52,114.4,-1.46,53.42
19,TPU_散熱,1.15,75.0,3/4,11.66,42.82,16.75,50.61
20,TPU_光通訊與連接器,2.89,75.0,3/4,-22.39,-23.21,0.16,7.93
21,記憶體製造,4.4,75.0,3/4,-3.69,192.04,46.76,53.67
22,記憶體封裝與測試,3.29,75.0,3/4,-20.26,-32.6,2.25,2.4
23,電池或電源,1.21,75.0,15/20,85.35,171.64,0.25,-31.29
24,光學元件或組裝,4.07,73.33,11/15,-19.84,-41.16,16.84,15.86
25,記憶體模組,1.6,71.43,5/7,-8.16,-30.72,0.52,4.93
26,BBU_電池模組,1.23,71.43,5/7,6.5,8.77,0.03,-4.0
27,化學,1.2,70.0,14/20,-8.85,-109.8,-6.8,15.62
28,電器電纜,0.14,70.0,7/10,8.19,20.12,-0.01,-0.26
29,被動元件,1.31,68.42,13/19,-65.4,-88.01,4.59,-30.15
30,玻璃,2.32,66.67,10/15,68.05,42.83,20.26,99.55
31,航運,0.86,60.0,9/15,12.63,41.63,-0.01,-4.22
32,BBU_電源供應器與整合,0.5,60.0,3/5,75.98,152.86,-0.03,-28.63
33,廠務系統與水處理,0.26,57.14,4/7,-0.09,-0.14,-0.12,0.87
34,紡織,0.71,55.0,11/20,2.23,2.71,0.07,-0.2
35,銀,0.64,50.0,2/4,-58.76,-86.13,5.36,11.44
36,鋼鐵,-0.02,46.67,7/15,-3.29,7.0,5.49,3.39
37,造紙,-0.38,28.57,2/7,0.08,0.72,0.0,0.2
