股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
1608,華榮,2026-08-05,33.95,33.4,-1.62%,22414,3676,6.1
2204,中華,2026-08-05,52.5,51.5,-1.9%,6729,1536,4.38
2301,光寶科,2026-08-05,260.0,249.0,-4.23%,90355,25621,3.53
2436,偉詮電,2026-08-05,60.4,61.0,0.99%,10015,3144,3.19
2492,華新科,2026-08-05,274.0,259.5,-5.29%,43709,11692,3.74
3048,益登,2026-08-05,59.0,58.3,-1.19%,15202,3711,4.1
5340,建榮,2026-08-05,73.0,75.7,3.7%,8080,1441,5.6
6547,高端疫苗,2026-08-05,52.0,52.1,0.19%,7706,2165,3.56
2301,光寶科,2026-08-04,233.5,249.0,6.64%,67014,22164,3.02
2393,億光,2026-08-04,54.4,60.7,11.58%,11557,3370,3.43
2425,承啟,2026-08-04,48.3,49.1,1.66%,16737,5301,3.16
2492,華新科,2026-08-04,251.0,259.5,3.39%,33258,9604,3.46
3048,益登,2026-08-04,55.0,58.3,6.0%,16234,3123,5.2
3090,日電貿,2026-08-04,137.5,147.0,6.91%,20071,6443,3.12
3441,聯一光,2026-08-04,93.5,85.4,-8.66%,49360,14242,3.47
3504,揚明光,2026-08-04,76.3,76.5,0.26%,9149,2864,3.19
