排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,CPO_先進封裝測試,3.83,100.0,5/5,9.89,-4.1,0.77,2.85
2,CPO_光通訊,8.27,100.0,6/6,15.48,-15.97,7.06,46.33
3,PCB,2.62,100.0,15/15,37.86,75.25,-13.46,-49.6
4,TPU_伺服器主板與印刷電路板,1.97,100.0,5/5,33.92,99.58,-16.86,-57.75
5,TPU_散熱,4.63,100.0,4/4,10.63,21.69,12.71,15.61
6,銅,2.35,80.0,8/10,10.89,7.98,11.23,-21.95
7,IC設計,1.89,76.92,10/13,32.54,18.36,-4.07,-5.24
8,TPU_光通訊與連接器,5.74,75.0,3/4,-1.25,-8.15,2.54,3.64
9,光學元件或組裝,4.27,73.33,11/15,21.07,-50.68,-13.99,37.12
10,玻璃,1.37,60.0,9/15,35.05,50.56,-4.84,7.35
11,電器電纜,0.26,60.0,6/10,-0.03,-3.24,-0.07,-0.18
12,記憶體控制IC,1.31,60.0,3/5,-2.52,10.96,0.0,0.25
13,無塵室與機電工程,2.08,60.0,3/5,-7.16,3.58,-0.05,-0.22
14,廠務系統與水處理,0.18,57.14,4/7,-0.2,-1.36,0.03,0.03
15,BBU_電池模組,1.38,57.14,4/7,1.17,-0.51,-1.6,-12.49
16,工業自動化與機器人,0.27,57.14,4/7,0.62,-3.42,0.27,2.15
17,低軌衛星,0.43,57.14,4/7,-10.04,-15.08,-1.22,-9.99
18,半導體設備,0.56,57.14,4/7,-2.11,-5.39,1.45,-5.33
19,記憶體封裝與測試,0.17,50.0,2/4,-4.88,-4.19,-0.22,-0.3
20,化學,0.15,50.0,10/20,8.25,-75.4,12.74,19.49
21,銀,-0.78,50.0,2/4,8.8,-6.52,-12.74,-14.32
22,記憶體製造,-0.31,50.0,2/4,-49.46,-19.0,-9.83,-4.03
23,網通設備組件,2.08,50.0,10/20,41.33,37.44,-5.24,12.96
24,被動元件,0.55,47.37,9/19,-16.38,-56.13,-22.18,-16.75
25,電池或電源,0.07,45.0,9/20,-33.9,-22.99,4.13,-5.03
26,塑膠,0.47,44.44,8/18,10.11,-71.73,12.56,13.24
27,造紙,-0.46,42.86,3/7,0.01,0.92,0.0,0.0
28,金融,0.45,42.11,8/19,10.11,-71.74,12.56,13.24
29,軟體設計,-0.31,40.0,6/15,0.71,2.11,0.04,0.04
30,BBU_電源供應器與整合,2.15,40.0,2/5,-34.13,-15.62,5.78,7.81
31,軍工_無人機相關,-0.47,37.5,3/8,11.69,-5.11,-5.57,-14.59
32,機器人,-0.21,35.71,5/14,-33.36,-49.11,-1.18,1.89
33,航運,0.17,26.67,4/15,40.65,184.39,-9.09,-13.11
34,軍工_航太製造與維修,-1.25,16.67,1/6,-1.55,-24.67,-0.01,-0.01
35,紡織,-0.74,15.0,3/20,2.09,2.83,0.38,6.44
36,鋼鐵,-0.39,13.33,2/15,-3.7,13.4,-0.01,10.1
37,記憶體模組,-3.14,0.0,0/7,-57.32,132.34,1.28,3.18
