股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1101,台泥,24.95,9.43%,98217,1.68
1312,國喬,12.85,16.82%,39564,2.66
2303,聯電,55.3,10.71%,187847,4.34
2312,金寶,25.05,10.6%,124090,1.64
2313,華通,127.0,28.54%,103712,2.75
2367,燿華,33.65,18.69%,118461,5.02
3105,穩懋,233.0,22.96%,54113,2.24
3149,正達,44.7,37.33%,19406,3.05
3189,景碩,181.0,18.3%,31251,1.55
3374,精材,184.0,35.79%,17014,5.32
3715,定穎投控,144.5,17.0%,121852,1.52
5347,世界,119.0,21.18%,69401,5.39
6182,合晶,35.85,14.9%,25401,2.75
6239,力成,220.0,25.71%,26466,1.95
6282,康舒,48.75,19.78%,153881,1.62
6443,元晶,34.8,19.59%,61726,5.06
6548,長科*,48.45,21.13%,10087,1.53
6603,富強鑫,34.35,26.29%,26533,3.34
8150,南茂,59.2,23.33%,176483,2.45
8271,宇瞻,132.0,31.34%,24943,2.58
