排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,紡織,-0.9,30.0,6/20,7.82,16.44,2.32,5.02
2,BBU_電源供應器與整合,-4.21,20.0,1/5,-31.55,-40.32,0.28,-17.95
3,CPO_先進封裝測試,-6.73,20.0,1/5,-11.76,-38.4,1.35,17.45
4,網通設備組件,-3.12,20.0,4/20,-24.99,-194.47,10.27,6.93
5,BBU_電池模組,-4.91,14.29,1/7,-18.33,-18.38,3.84,9.31
6,造紙,-1.61,14.29,1/7,0.25,3.48,0.0,0.04
7,電器電纜,-3.42,10.0,1/10,-15.63,13.39,0.42,-2.77
8,銅,-5.37,10.0,1/10,0.8,-104.1,7.01,53.32
9,鋼鐵,-1.36,6.67,1/15,-8.52,-3.24,0.31,0.92
10,軟體設計,-1.71,6.67,1/15,1.04,4.73,-0.01,-0.02
11,航運,-2.23,6.67,1/15,-9.43,18.55,2.96,8.45
12,玻璃,-4.4,6.67,1/15,-95.29,-245.05,-5.43,-11.06
13,化學,-4.33,5.0,1/20,-24.36,-19.06,2.29,13.68
14,半導體設備,-5.66,0.0,0/7,-1.98,-0.55,-0.45,-4.43
15,記憶體模組,-4.28,0.0,0/7,-41.6,-37.38,1.88,-7.94
16,CPO_光通訊,-5.52,0.0,0/6,1.24,-29.86,3.32,-2.91
17,IC設計,-4.25,0.0,0/13,15.8,-140.34,0.45,-62.94
18,PCB,-5.75,0.0,0/15,-98.85,-385.03,-10.64,27.59
19,銀,-7.4,0.0,0/4,68.85,77.74,-5.77,-2.86
20,金融,-3.44,0.0,0/19,-10.23,-39.61,1.13,13.64
21,TPU_伺服器主板與印刷電路板,-6.35,0.0,0/5,-121.72,-294.69,-5.28,26.39
22,TPU_光通訊與連接器,-5.12,0.0,0/4,-6.4,-30.93,5.37,-2.37
23,軍工_航太製造與維修,-6.4,0.0,0/6,9.07,6.29,0.02,0.06
24,軍工_無人機相關,-5.6,0.0,0/9,7.36,-78.48,-4.11,-29.09
25,記憶體製造,-4.08,0.0,0/4,4.03,-146.51,-11.44,-70.07
26,記憶體控制IC,-3.76,0.0,0/5,1.45,-7.12,-0.16,-1.4
27,塑膠,-3.6,0.0,0/18,-10.23,-39.62,1.13,13.64
28,記憶體封裝與測試,-5.45,0.0,0/4,-1.15,49.13,-5.82,-19.42
29,被動元件,-8.09,0.0,0/19,48.92,-70.86,-3.57,43.44
30,TPU_散熱,-6.77,0.0,0/4,-15.9,-18.85,-3.14,9.88
31,低軌衛星,-6.71,0.0,0/7,-27.68,-46.13,6.85,8.17
32,光學元件或組裝,-5.23,0.0,0/15,17.96,-13.98,-3.95,-20.29
33,無塵室與機電工程,-5.28,0.0,0/5,-5.26,-12.26,-1.98,-6.53
34,機器人,-4.29,0.0,0/14,-23.61,-45.56,2.49,-14.41
35,廠務系統與水處理,-3.06,0.0,0/7,-0.08,-1.71,-0.03,-0.29
36,工業自動化與機器人,-4.53,0.0,0/7,2.61,6.51,0.37,-0.68
37,電池或電源,-4.73,0.0,0/20,-67.57,-63.26,8.29,-1.05
