排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,CPO_先進封裝測試,3.68,100.0,5/5,19.68,37.38,-3.45,-34.86
2,TPU_光通訊與連接器,5.85,100.0,4/4,39.57,37.4,18.28,33.23
3,記憶體製造,5.56,100.0,4/4,177.79,471.18,1.97,-28.84
4,TPU_散熱,3.66,100.0,4/4,46.65,8.33,11.2,9.19
5,記憶體模組,1.59,85.71,6/7,-21.16,-67.01,-10.88,-41.37
6,CPO_光通訊,3.36,83.33,5/6,5.8,-3.68,17.67,55.6
7,無塵室與機電工程,2.27,80.0,4/5,36.41,47.79,5.76,23.45
8,記憶體封裝與測試,5.47,75.0,3/4,5.54,-9.14,-0.31,-8.39
9,廠務系統與水處理,0.09,71.43,5/7,1.98,3.82,-0.0,-0.01
10,工業自動化與機器人,2.65,71.43,5/7,3.25,9.57,0.04,-0.58
11,電器電纜,1.07,70.0,7/10,6.77,38.16,-0.03,1.27
12,電池或電源,0.83,65.0,13/20,77.14,276.04,10.17,5.48
13,網通設備組件,1.95,65.0,13/20,144.03,37.99,17.9,52.62
14,機器人,2.15,64.29,9/14,68.78,179.88,3.32,4.07
15,玻璃,3.31,60.0,9/15,89.95,227.36,53.66,55.88
16,BBU_電源供應器與整合,0.94,60.0,3/5,51.43,178.3,10.62,13.62
17,記憶體控制IC,-0.44,60.0,3/5,3.79,22.83,-0.13,-0.19
18,銅,1.17,60.0,6/10,21.83,64.47,17.05,29.13
19,TPU_伺服器主板與印刷電路板,2.1,60.0,3/5,115.62,200.62,28.04,53.42
20,PCB,0.77,53.33,8/15,147.39,287.23,53.46,114.32
21,被動元件,1.57,47.37,9/19,57.6,149.47,9.4,50.82
22,軟體設計,0.4,46.67,7/15,0.87,1.15,-0.01,-0.03
23,紡織,-0.66,45.0,9/20,-1.55,2.74,-3.02,-9.19
24,光學元件或組裝,1.28,40.0,6/15,8.55,20.32,15.24,44.57
25,BBU_電池模組,0.45,28.57,2/7,17.73,74.99,-0.2,-9.52
26,化學,-0.82,25.0,5/20,23.78,44.53,-3.83,-6.87
27,銀,-1.7,25.0,1/4,-30.57,-36.9,1.9,37.82
28,IC設計,-2.9,23.08,3/13,41.87,-140.64,-33.52,2.36
29,軍工_無人機相關,0.3,22.22,2/9,59.22,-37.09,-25.52,-8.06
30,金融,-0.87,21.05,4/19,25.56,6.41,-1.49,-1.51
31,航運,-0.34,20.0,3/15,-29.8,-20.62,21.65,51.58
32,塑膠,-0.95,16.67,3/18,25.55,6.41,-1.49,-1.51
33,半導體設備,-0.84,14.29,1/7,-6.88,-6.37,3.67,11.59
34,低軌衛星,-2.04,14.29,1/7,-41.18,113.88,-1.13,-6.96
35,造紙,-1.06,14.29,1/7,-0.44,-0.72,0.0,-0.0
36,軍工_航太製造與維修,-1.98,0.0,0/6,-1.0,-0.85,-0.01,0.01
37,鋼鐵,-2.15,0.0,0/15,-14.61,1.85,-0.68,-1.48
