股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2302,麗正,33.95,43.55%,18505,3.69
2305,全友,20.8,18.86%,37880,2.85
2312,金寶,40.0,35.82%,210267,2.54
2316,楠梓電,171.5,26.57%,13759,1.64
2421,建準,165.0,10.74%,11117,1.74
2441,超豐,136.0,40.93%,33284,1.83
2464,盟立,173.5,47.03%,17717,1.57
2472,立隆電,307.0,37.67%,15044,2.85
2476,鉅祥,131.0,10.55%,12057,1.52
2481,強茂,147.0,27.27%,52336,1.7
2484,希華,56.0,43.96%,44955,3.19
2493,揚博,163.5,28.24%,13254,1.78
2881,富邦金,103.5,10.46%,103318,1.85
3042,晶技,203.0,35.79%,50022,3.01
3149,正達,68.0,32.3%,40572,2.54
3305,昇貿,163.5,27.24%,17035,1.89
3317,尼克森,83.7,23.27%,12099,2.28
3673,TPK-KY,87.4,44.22%,26030,2.78
4510,高鋒,51.9,7.45%,11985,1.72
4526,東台,44.35,20.03%,27008,1.74
5285,界霖,89.6,20.27%,10380,5.8
5425,台半,100.5,23.92%,37355,3.64
6116,彩晶,13.65,28.17%,478320,2.85
6127,九豪,57.2,18.06%,24642,2.12
6147,頎邦,260.5,32.91%,42573,1.6
6207,雷科,108.5,57.7%,23563,3.25
6271,同欣電,260.5,42.35%,24724,2.29
6278,台表科,246.5,14.92%,22110,1.91
6284,佳邦,117.5,41.23%,16003,4.13
6695,芯鼎,64.0,23.08%,12381,2.79
8261,富鼎,193.5,47.71%,14430,2.29
8926,台汽電,68.7,33.14%,18031,2.91
