股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2313,華通,192.0,32.87%,118194,2.04
2355,敬鵬,43.75,23.94%,59271,3.92
2367,燿華,59.5,45.83%,129291,2.52
2455,全新,181.5,2.83%,29884,1.64
2464,盟立,72.0,7.95%,18037,2.57
3017,奇鋐,1675.0,30.86%,10085,1.54
3037,欣興,388.0,20.87%,101586,1.87
3189,景碩,270.5,35.25%,78044,2.01
3221,台嘉碩,31.15,22.4%,17501,5.81
3576,聯合再生,13.5,25.58%,31812,1.75
4958,臻鼎-KY,199.0,24.76%,59496,3.17
4991,環宇-KY,265.5,30.15%,17572,1.64
6189,豐藝,53.7,19.2%,15921,5.52
6244,茂迪,26.95,19.25%,36508,2.04
6271,同欣電,157.0,22.66%,11997,1.76
6285,啟碁,207.5,61.48%,43658,3.97
6443,元晶,44.1,10.8%,236164,2.67
6451,訊芯-KY,208.0,36.39%,10469,3.42
