股票代碼,公司名稱,符合策略數,符合策略
2312,金寶,4,"外資買超, 大戶持有, 強勢股, 盤整突破"
6271,同欣電,4,"外資買超, 大戶持有, 強勢股, 盤整突破"
2436,偉詮電,3,"外資買超, 大戶持有, 隔日衝"
5425,台半,3,"外資買超, 大戶持有, 強勢股"
6207,雷科,3,"外資買超, 大戶持有, 強勢股"
2375,凱美,3,"外資買超, 大戶持有, 盤整突破"
2493,揚博,3,"外資買超, 強勢股, 盤整突破"
6284,佳邦,3,"大戶持有, 強勢股, 盤整突破"
6182,合晶,2,"大戶持有, 隔日衝"
3035,智原,2,"大戶持有, 隔日衝"
2881,富邦金,2,"外資買超, 強勢股"
2369,菱生,2,"外資買超, 盤整突破"
2481,強茂,2,"外資買超, 強勢股"
6548,長科*,2,"外資買超, 盤整突破"
2489,瑞軒,2,"外資買超, 大戶持有"
3673,TPK-KY,2,"外資買超, 強勢股"
2887,台新金,2,"外資買超, 投信連續"
6147,頎邦,2,"外資買超, 強勢股"
2464,盟立,2,"外資買超, 強勢股"
2472,立隆電,2,"外資買超, 強勢股"
3217,優群,2,"外資買超, 大戶持有"
6706,惠特,2,"外資買超, 大戶持有"
3090,日電貿,2,"外資買超, 大戶持有"
5274,信驊,2,"外資買超, 大戶持有"
2912,統一超,2,"投信連續, 盤整突破"
2305,全友,2,"強勢股, 盤整突破"
3042,晶技,2,"強勢股, 盤整突破"
5285,界霖,2,"強勢股, 盤整突破"
6116,彩晶,2,"強勢股, 盤整突破"
6127,九豪,2,"大戶持有, 強勢股"
6695,芯鼎,2,"強勢股, 盤整突破"
8926,台汽電,2,"大戶持有, 強勢股"
2478,大毅,2,"大戶持有, 盤整突破"
3537,堡達,2,"大戶持有, 盤整突破"
2241,艾姆勒,2,"大戶持有, 盤整突破"
6834,天二科技,2,"大戶持有, 盤整突破"
2401,凌陽,2,"大戶持有, 盤整突破"
4916,事欣科,2,"大戶持有, 盤整突破"
5328,華容,2,"大戶持有, 盤整突破"
