排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,銅,2.55,90.0,9/10,84.58,132.12,13.78,31.23
2,被動元件,3.93,78.95,15/19,79.47,215.61,9.48,46.43
3,記憶體封裝與測試,4.92,75.0,3/4,13.75,18.0,3.02,-0.27
4,記憶體製造,3.81,75.0,3/4,25.3,357.82,16.54,-10.45
5,記憶體模組,1.59,71.43,5/7,-72.14,-113.29,-4.82,-40.08
6,BBU_電源供應器與整合,1.57,60.0,3/5,94.01,266.97,14.25,30.34
7,化學,1.19,60.0,12/20,33.29,58.28,-3.9,-9.43
8,電器電纜,0.94,60.0,6/10,-14.08,0.75,-2.71,-1.52
9,電池或電源,0.28,50.0,10/20,87.9,331.58,14.06,23.79
10,銀,2.84,50.0,2/4,-14.02,-56.61,0.72,22.91
11,金融,0.3,47.37,9/19,49.71,71.0,1.01,-0.47
12,PCB,-0.27,46.67,7/15,-7.41,98.69,-0.22,57.77
13,塑膠,0.2,44.44,8/18,49.71,70.99,1.01,-0.47
14,低軌衛星,-0.08,42.86,3/7,-9.46,-2.25,-12.17,-9.97
15,記憶體控制IC,-0.52,40.0,2/5,13.6,11.0,-0.01,-0.14
16,TPU_伺服器主板與印刷電路板,-0.82,40.0,2/5,16.1,154.29,17.9,53.58
17,紡織,-0.45,40.0,8/20,-16.45,-17.26,-4.47,-11.17
18,航運,0.29,40.0,6/15,-22.15,-65.82,24.51,59.81
19,玻璃,-0.66,40.0,6/15,-10.02,136.43,18.44,67.25
20,網通設備組件,-1.45,35.0,7/20,138.09,197.07,-31.47,-38.12
21,軍工_航太製造與維修,-0.79,33.33,2/6,0.85,0.26,-0.0,0.01
22,鋼鐵,-0.43,33.33,5/15,-3.16,-4.82,-0.27,-1.4
23,廠務系統與水處理,-0.52,28.57,2/7,0.27,3.25,-0.0,-0.01
24,BBU_電池模組,-1.05,28.57,2/7,11.28,77.28,0.02,-7.47
25,軍工_無人機相關,-0.39,22.22,2/9,138.95,154.37,-59.37,-126.78
26,機器人,-1.89,21.43,3/14,75.35,252.1,8.44,15.06
27,無塵室與機電工程,0.09,20.0,1/5,-5.41,42.82,16.49,32.31
28,CPO_先進封裝測試,-0.31,20.0,1/5,-12.19,25.94,-1.82,-15.45
29,工業自動化與機器人,-1.72,14.29,1/7,-2.4,6.75,1.59,1.01
30,軟體設計,-0.72,13.33,2/15,-1.86,-2.9,-0.01,-0.03
31,IC設計,-2.11,7.69,1/13,161.66,99.32,-77.73,-142.39
32,光學元件或組裝,-4.24,6.67,1/15,-45.95,-36.13,15.7,49.22
33,CPO_光通訊,-7.24,0.0,0/6,-29.39,-44.72,-6.22,32.77
34,TPU_散熱,-0.98,0.0,0/4,-0.74,20.05,7.53,11.9
35,TPU_光通訊與連接器,-5.29,0.0,0/4,-16.66,27.92,-0.36,29.85
36,半導體設備,-2.94,0.0,0/7,-7.88,-7.91,-0.13,9.66
37,造紙,-1.12,0.0,0/7,-0.15,-0.5,0.0,0.0
