股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1409,新纖,18.9,11.83%,57381,2.02
1513,中興電,169.0,8.68%,30847,2.91
2070,精湛,82.4,23.91%,11355,3.62
2303,聯電,143.5,45.83%,280261,1.5
2342,茂矽,44.05,7.44%,13295,2.0
2344,華邦電,155.0,27.05%,439027,1.54
2359,所羅門,144.5,15.6%,10233,2.53
2369,菱生,40.15,31.86%,90986,1.79
2375,凱美,147.0,53.12%,33132,4.22
2401,凌陽,31.05,24.45%,30654,4.21
2441,超豐,136.0,39.77%,19478,1.96
2464,盟立,177.0,57.33%,32535,1.62
2472,立隆電,337.5,44.54%,12343,2.76
2481,強茂,147.5,21.9%,72240,1.72
2495,普安,50.6,42.54%,27802,1.81
2881,富邦金,110.0,16.16%,95547,2.24
2882,國泰金,85.4,10.48%,69944,1.68
3357,臺慶科,285.5,34.04%,10237,1.98
3673,TPK-KY,87.9,31.98%,65003,2.8
3707,漢磊,89.3,22.66%,40954,1.97
5425,台半,104.5,37.14%,69103,3.37
5864,致和證,38.6,21.0%,13032,1.63
6015,宏遠證,17.95,16.56%,15480,1.97
6116,彩晶,14.5,28.89%,293314,3.57
6147,頎邦,265.0,38.02%,81924,1.6
6175,立敦,97.4,41.98%,10826,2.3
6182,合晶,90.2,63.11%,210083,2.01
6265,方土昶,55.0,28.65%,22511,1.59
6425,易發,102.5,16.74%,10866,2.06
6548,長科*,61.1,20.28%,28501,1.6
6821,聯寶,71.9,46.14%,10413,3.41
8043,蜜望實,132.0,33.47%,17586,2.75
8261,富鼎,195.0,47.73%,19502,2.48
8926,台汽電,72.3,27.51%,27210,3.42
