排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
210,4971,IET-KY,半導體業,上櫃,4,35,185
211,6277,宏正,電腦及週邊設備業,上市,3,20,182
212,6416,瑞祺電通,通信網路業,上市,4,21,181
213,8032,光菱,電子通路業,上櫃,4,56,173
214,3057,喬鼎,電腦及週邊設備業,上市,4,34,173
215,4563,百德,電機機械,上櫃,4,2,162
216,1103,嘉泥,水泥工業,上市,5,12,160
217,4716,大立,化學工業,上櫃,4,4,155
218,6223,旺矽,半導體業,上櫃,4,25,153
219,3716,中化控股,生技醫療業,上市,4,35,151
220,2438,翔耀,光電業,上市,5,90,145
221,6870,騰雲,數位雲端,上櫃,4,20,144
222,6890,來億-KY,運動休閒,上市,4,8,140
223,8908,欣雄,油電燃氣業,上櫃,5,48,139
224,8277,商丞,半導體業,上櫃,5,5,135
225,6203,海韻電,電子零組件業,上櫃,5,27,130
226,2527,宏璟,建材營造業,上市,3,53,126
227,6592,和潤企業,其他業,上市,3,111,126
228,3546,宇峻,文化創意業,上櫃,4,15,124
229,6417,韋僑,通信網路業,上櫃,4,32,122
230,8201,無敵,其他電子業,上市,5,1,117
231,6617,共信-KY,生技醫療業,上櫃,4,43,114
232,2528,皇普,建材營造業,上市,4,2,110
233,1464,得力,紡織纖維,上市,4,15,107
234,3583,辛耘,半導體業,上市,3,14,99
235,6894,衛司特,綠能環保,上櫃,4,5,98
236,1323,永裕,塑膠工業,上市,5,12,91
237,7734,印能科技,半導體業,上櫃,3,21,91
238,4552,力達-KY,電機機械,上市,4,11,90
239,5283,禾聯碩,電器電纜,上市,5,16,89
240,2243,宏旭-KY,汽車工業,上市,3,95,88
241,3652,精聯,電腦及週邊設備業,上市,4,5,87
242,4569,六方科-KY,汽車工業,上市,4,14,87
243,2380,虹光,電腦及週邊設備業,上市,3,13,84
244,6578,達邦蛋白,農業科技業,上櫃,5,17,83
245,4106,雃博,生技醫療業,上市,5,28,81
246,6585,鼎基,其他業,上市,5,6,80
247,3054,立萬利,食品工業,上市,4,8,77
248,4736,泰博,生技醫療業,上市,4,6,77
249,8097,常珵,通信網路業,上櫃,5,6,76
250,6923,中台,綠能環保,上市,5,11,74
251,1268,漢來美食,觀光餐旅,上櫃,5,8,73
252,6654,天正國際,其他電子業,上櫃,3,21,72
253,8429,金麗-KY,貿易百貨業,上市,4,21,72
254,3287,廣寰科,電腦及週邊設備業,上櫃,3,46,66
255,2423,固緯,其他電子業,上市,3,37,66
256,6598,ABC-KY,生技醫療業,上市,5,26,65
257,4744,皇將,生技醫療業,上櫃,4,13,64
258,9918,欣天然,油電燃氣業,上市,5,5,61
259,6532,瑞耘,半導體業,上櫃,4,94,60
260,6418,詠昇,電子零組件業,上櫃,4,5,60
261,4543,萬在,電機機械,上櫃,3,17,54
262,9935,慶豐富,居家生活,上市,4,7,49
263,1598,岱宇,運動休閒,上市,3,3,48
264,2745,五福,觀光餐旅,上櫃,3,30,46
265,6804,明係,運動休閒,上櫃,3,6,45
266,3308,聯德,電子零組件業,上市,4,26,45
267,8084,巨虹,電子通路業,上櫃,3,23,44
268,5353,台林,通信網路業,上櫃,5,3,44
269,2114,鑫永銓,橡膠工業,上市,4,3,38
270,1737,臺鹽,食品工業,上市,5,8,38
271,1537,廣隆,電機機械,上市,4,9,37
272,5215,科嘉-KY,電腦及週邊設備業,上市,4,12,33
273,7556,意德士,半導體業,上櫃,4,2,30
