公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
亞力,1514,109.0,亞力二,15142,109.2,0.18,4791420,2249908.0,135,61.0
高鋒,4510,48.0,高鋒二,45102,48.41,0.85,12328011,3737724.0,29,9.0
台特化,4772,314.0,台特化一,47721,323.8,3.12,4695397,2088123.0,288,123.0
