股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1102,亞泥,37.8,5,63796914,12759,38.05,36.3,4.82%
1216,統一,77.0,4,10055691,2011,80.5,76.2,5.64%
1605,華新,33.6,5,6998327,1399,34.85,31.35,11.16%
2027,大成鋼,35.0,4,25492000,5098,36.35,35.0,3.86%
2324,仁寶,30.8,5,5931395,1186,31.35,30.0,4.50%
2327,國巨,244.0,4,16411922,3282,249.0,220.5,12.93%
2353,宏碁,26.6,4,40656139,8131,27.1,25.0,8.40%
2356,英業達,43.85,5,3039767,607,45.05,42.05,7.13%
2376,技嘉,248.0,4,10743370,2148,259.0,234.0,10.68%
2393,億光,54.8,5,6470547,1294,58.8,53.8,9.29%
2603,長榮,190.0,4,6454241,1290,194.5,189.0,2.91%
2882,國泰金,76.5,4,40742612,8148,76.5,74.2,3.10%
2884,玉山金,33.85,5,141337119,28267,34.2,33.2,3.01%
2887,台新金,21.0,5,59314207,11862,21.25,20.2,5.20%
3045,台灣大,107.0,5,10418793,2083,111.0,107.0,3.74%
3231,緯創,155.0,4,13846234,2769,158.0,143.5,10.10%
4915,致伸,77.5,5,7934803,1586,78.6,76.3,3.01%
6188,廣明,108.0,5,7642000,1528,112.0,102.0,9.80%
6488,環球晶,413.0,5,6817078,1363,421.0,394.0,6.85%
8069,元太,193.0,4,12008811,2401,201.5,185.5,8.63%
